Fuel,AHMEDABAD,AHMEDABAD EAST,AIZAWL DTO,AJMER RTO,AKLUJ,ALANGULAM UO,ALIGARH RTO,ALIPORE RTO,ALIPURDUAR RTO,ALUVA SRTO,AMBASAMUTHIRAM UO,AMBATTUR RTO,AMINI,AMRAWATI,AMRELI,ANAND,ANDROTH,ANGAMALI SRTO,ANUPPUR DTO,ARAKKONAM UO,ARANTHANGI UO,ARIYALUR RTO,ARTO OFFICE RAMPUR,ATTINGAL RTO,AVINASHI UO,Agra RTO,Ahmedabad (Rural) Bawla ARTO,Ambikapur RTO,BAGALKOT RTO,BAIKUNTHPUR DTO,BALAGHAT DTO,BALASORE RTO,BANASKANTHA,BANSWARA DTO,BARAMATI,BARASAT RTO,BARDOLI,BAREILLY,BARMER DTO,BARPETA,BARRACKPORE ARTO,BASKA,BASTI RTO,BEGUSARAI,BEHALA ARTO,BELLARY RTO,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BETTIAH,BHADRAK RTO,BHAGALPUR,BHALKI ARTO,BHANDARA,BHARUCH,BHAVANI UO,BHAVNAGAR,BHILWARA DTO,BHOPAL RTO,BHUBANESWAR RTO,BICHOLIM RTO,BIKANER RTO,BIRBHUM RTO,BOUDH RTO,BUDGAM ARTO,BULDHANA,Bahraich,Bilaspur RTO,CANACONA RTO,CHALAKKUDY SRTO,CHAMARAJANAGAR RTO,CHANDAPURA BENGALURU RTO,CHANDIGARH UT (RLA AND STA),CHENGANNUR SRTO,CHENNAI (CENTRAL RTO,CHENNAI (EAST RTO,CHENNAI (NORTH RTO,CHENNAI (NORTH-EAST RTO,CHENNAI (SOUTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHENNAI (WEST RTO,CHERTHALA SRTO,CHHATRAPATI SAMBHAJINAGAR,CHHOTAUDAIPUR,CHICKABALLAPUR RTO,CHIDAMBARAM RTO,CHIKAMANGLUR RTO,CHITRADURGA RTO,CHITTORGARH RTO,COIMBATORE (CENTRAL RTO,COIMBATORE (NORTH RTO,COIMBATORE (SOUTH RTO,COIMBATORE (WEST RTO,CONTAI ARTO,CUDDALORE RTO,CUTTACK RTO,Chittoor RTA,DAHOD,DAKSHIN DINAJPUR RTO,DARRANG,DATIA DTO,DAUSA RTO,DAVANAGERE RTO,DEHRADUN RTO,DEVANAHALLI ARTO,DEWAS DTO,DHANBAD,DHARAPURAM RTO,DHARASHIV,DHARMAPURI RTO,DHARWAD EAST RTO,DHARWAD WEST RTO,DHULE,DINDIGUL RTO,DURG RTO,DWARKA,DY REGIONAL TRANSPORT OFFICE HINGOLI,Dhamtari DTO,EAST SIANG,ELECTRONIC CITY RTO,ERNAKULAM RTO,ERODE RTO,Etah,Etawah,FEROZABAD,GADAG RTO,GANDHINAGAR,GANJAM RTO,GOKAK ARTO,GOPICHETTIPALAYAM RTO,GULHA,GUNA DTO,GURUVAYUR SRTO,Gorakhpur RTO,HAMIRPUR(UP),HARDOI,HARIDWAR ARTO,HARUR UO,HASSAN RTO,HAVERI RTO,HISAR,HONNAVAR ARTO,HOOGHLY RTO,HOSPET RTO,HOWRAH RTO,HUNSUR ARTO,Hapur,Hindupur RTA,ICHALKARANJI,ILLUPPUR UO,INDORE RTO,IRINJALAKUDA SRTO,JABALPUR RTO,JAGADHARI,JAGATPURA JAIPUR ARTO,JAGATSINGHPUR RTO,JAGDALPUR RTO,JAIPUR (FIRST RTO,JAIPUR (SECOND RTO,JAISALMER DTO,JALPAIGURI RTO,JAMNAGAR,JANAKPURI,JHARSUGUDA RTO,JNANABHARATHI RTO,JODHPUR RTO,JORETHANG,JPNAGAR,JUNAGADH,Janjgir Champa DTO,Jashpur DTO,JhansiRTO,K G F ARTO,KACHCHH,KAITHAL,KALABURAGI RTO,KALYAN,KAMRUP,KANCHEEPURAM RTO,KANGEYAM UO,KANKER DTO,KANNUR RTO,KANPUR NAGAR,KARAD,KARAIKAL,KARAIKUDI UO,KARUNAGAPPALLY SRTO,KARUR RTO,KARWAR RTO,KASHIPUR ARTO,KATNI ARTO,KAVARATTI,KAWARDHA DTO,KAYAMKULAM SRTO,KAZHAKUTTOM SRTO,KENDRAPARA RTO,KHEDA,KHORDHA ARTO,KODUNGALLUR SRTO,KODUVALLY SRTO,KOLAR RTO,KOLHAPUR,KOLLAM RTO,KONDOTTY SRTO,KOPPAL RTO,KORAPUT RTO,KOTA RTO,KOTPUTALI DTO,KOTTARAKKARA SRTO,KOVILPATTI RTO,KOZHIKODE RTO,KRISHNAGIRI RTO,KRISHNARAJAPURAM RTO,KULITHALI UO,KUMBAKONAM RTO,KUNDRATHUR RTO,Kavali UO,Korba DTO,LAKHIMPUR KHERI,LOHARDAGA,LONI ROAD,MADHUGIRI TUMAKURU ARTO,MADIKERI RTO,MADURAI (CENTRAL RTO,MADURAI (NORTH RTO,MADURANTAGAM UO,MAHANAGAR ARTO LUCKNOW (UP321),MALAPPURAM RTO,MALDA RTO,MALEGAON,MALL ROAD,MAMIT,MANDSAUR ARTO,MANDYA RTO,MANNARGUDI UO,MAPUSA RTO,MARGAO RTO,MARTHANDAM RTO,MATHABHANGA ARTO,MAYILADUTHURAI RTO,MAYUR VIHAR,MAYURBHANJ RTO,MEENAMBAKKAM RTO,MEERUT RTO,MEHSANA,METTUPALAYAM RTO,METTUR RTO,MINICOY,MIRZAPUR RTO,MORADABAD,MOTIHARI,MUMBAI (CENTRAL),MUMBAI (WEST),MURSHIDABAD RTO,MUSURI UO,MUZAFFARPUR,MYSURU EAST RTO,MYSURU WEST RTO,Mainpuri,Mau,NAGAMANGALA RTO,NAGAPATTINAM RTO,NAGAUR DTO,NAGERCOIL RTO,NAGPUR (EAST),NAGPUR (RURAL),NAGPUR (U),NAMAKKAL (NORTH RTO,NANDED,NANDURBAR,NARSINGHPUR DTO,NASHIK,NATHAM UO,NAVSARI,NEDUMANGADU SRTO,NEEMUCH DTO,NELAMANGALA RTO,NEYVELI UO,NORTH PARUR SRTO,Nandigama RTA,Noida,ODDANCHATRAM UO,OOTY RTO,OTTAPPALAM SRTO,PAKUR,PALAKKAD RTO,PALANI RTO,PALI RTO,PALWAL,PANAJI RTO,PANCHKULA,PANCHMAHAL,PANVEL,PARAMAKUDI UO,PARASSALA SRTO,PARBHANI,PASCHIM BURDWAN RTO,PASCHIM MIDNAPORE RTO,PATAN,PATNA,PATTAMBI SRTO,PATTUKOTTAI UNIT OFFICE,PEN (RAIGAD),PERNEM RTO,PERUNDURAI RTO,POLLACHI RTO,PONDA RTO,PONNANI SRTO,POONAMALLEE RTO,PORBANDAR,PRATAPGARH DTO,PUDUCHERRY,PUDUKOTTAI RTO,PUNE,PURBA BURDWAN RTO,PURI RTO,PURULIA RTO,PUTTUR RTO,PVD KOLKATA,Prayagraj RTO,QUEPEM RTO,R.T.O.BORIVALI,RAICHUR RTO,RAJGARH DTO,RAJKOT,RAJSAMAND DTO,RAMANAGAR RTO,RAMANATHAPURAM RTO,RANCHI,RANIBENNUR ARTO,RASIPURAM UO,RATLAM DTO,RAYGADA RTO,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,RISHIKESH ARTO,ROHINI,RTA Eluru,RTA FARIDABAD,RTA JHAJJAR AT BAHADURGARH,RTA JIND,RTO AHEMEDNAGAR,RTO AMRITSAR,RTO BARNALA,RTO BATHINDA,RTO CHANDRAPUR,RTO CHENNAI (NORTH WEST),RTO FARIDKOT,RTO FATEHGARH SAHIB,RTO FAZILKA,RTO FEROZPUR,RTO GANGTOK,RTO GURDASPUR,RTO HOSHIARPUR,RTO JALANDHAR,RTO JALGAON,RTO KAPURTHALA,RTO LUDHIANA,RTO MANSA,RTO MOGA,RTO MUKTSAR SAHIB,RTO PATHANKOT,RTO PATIALA,RTO PIMPRI CHINCHWAD,RTO ROPAR,RTO SANGRUR,RTO SATARA,RTO SHIMLA,RTO SOLAPUR,RTO TARN TARAN,RTO UNA,Raibareilly,Raigarh DTO,Raipur RTO,Rajnandgaon ARTO,SABARKANTHA,SAGAR ARTO,SAGAR RTO,SAHARANPUR RTO,SAHARSA,SAHJAHANPUR,SALEM (SOUTH RTO,SALEM (WEST RTO,SALTLAKE ARTO,SAMASTIPUR,SAMBA ARTO,SANGLI,SANKAGIRI RTO,SANKARANKOVIL RTO,SARAI KALE KHAN,SATHYAMANGALAM UO,SEHORE DTO,SEONI ARTO,SHILLONG,SHIMOGA RTO,SHOLINGANALLUR RTO,SILVASSA,SINDHUDURG(KUDAL),SIRKALI UO,SIRSI RTO,SIVAKASI RTO,SIWAN,SOUTH DELHI,SRI GANGANAGAR DTO,SRIRAMPUR,SRIRANGAM RTO,SUNDERGARH RTO,SURAJMAL VIHAR,SURAT,Sitapur,Srikakulam RTA,Sultanpur,TAMBARAM RTO,TAMLUK RTO,TARIKERE CHIKKAMAGALURU ARTO,TENKASI RTO,THALASSERY SRTO,THANE,THANJAVUR RTO,THENI RTO,THIRUCHENDUR RTO,THIRUR SRTO,THIRURANGADI SRTO,THIRUVALLA SRTO,THOOTHUKUDI RTO,THRISSUR RTO,TINDIVANAM RTO,TIPTUR ARTO,TIRUCHENGODE RTO,TIRUCHI RTO,TIRUCHI(EAST RTO,TIRUNELVELI RTO,TIRUPPUR (NORTH RTO,TIRUPPUR (SOUTH RTO,TIRUVANNAMALAI RTO,TIRUVARUR RTO,TIRUVERANBUR UO,TRANSPORT NAGAR RTO LUCKNOW (UP32),TRIVANDRUM RTO,TUMKUR RTO,UDUMALPET RTO,UDUPI RTO,UJJAIN RTO,UTHAMAPALAYAM UO,UTTAR DINAJPUR RTO,Unnao,VADAKARA RTO,VADODARA,VALLIYUR UO,VALSAD,VARANASI RTO,VASAI,VASCO RTO,VASHI (NEW MUMBAI),VEDACHANDUR UO,VELLORE RTO,VILUPPURAM RTO,Vijayawada RTA,Vishakapatnam RTA,WADAKKANCHERRY SRTO,WARDHA,WASHIM,WAZIRPUR,YADGIRI RTO,YALAHANKA RTO,YAWATMAL,Total
ELECTRIC BOV,60,15,1,1,1,3,1,12,1,2,2,2,1,2,1,5,1,1,8,1,4,1,8,2,35,24,1,7,3,6,2,10,7,32,18,13,1,8,3,1,4,1,2,2,4,3,42,33,35,102,57,1,1,8,1,3,1,9,8,20,18,40,2,10,19,1,1,22,18,21,2,4,1,9,2,4,3,2,7,1,7,3,3,9,2,10,1,1,7,9,12,61,3,4,10,1,2,5,28,1,1,28,1,4,2,43,27,15,3,10,2,3,3,37,48,1,7,7,13,2,3,1,30,8,7,1,12,2,11,22,4,1,6,1,5,3,10,2,9,18,4,14,9,12,14,3,1,2,4,1,1,3,1,63,3,5,1,1,4,4,66,1,2,1,2,1,23,30,19,1,1,4,2,1,16,7,36,2,2,5,1,4,3,1,1,21,2,5,1,1,2,4,2,1,1,13,1,6,1,18,2,2,2,25,14,1,1,1,2,5,7,1,25,1,1,103,5,32,4,1,2,30,1,6,98,3,2,3,2,62,3,6,5,5,1,11,2,4,1,17,3,1,12,4,1,5,25,30,8,2,6,1,9,1,8,7,1,1,4,11,30,18,9,1,3,35,3,14,2,19,4,6,1,7,11,1,17,1,2,2,1,4,1,2,3,1,3,1,10,1,2,1,1,1,2,10,12,1,1,3,1,4,1,5,7,1,1,7,7,2,1,12,3,11,42,2,39,101,1,1,2,2,8,3,8,20,1,13,63,3,19,3,6,1,2,1,49,7,14,1,81,1,1,1,1,26,3,96,12,47,1,7,64,11,32,2,1,1,28,1,1,89,5,4,1,3,159,84,4,95,26,1,13,1,2,10,19,55,43,53,17,2,1,1,3,1,1,1,1,4,31,12,2,2,8,2,5,1,14,2,1,2,6,22,1,1,3,11,2,1,2,204,34,2,2,1,12,36,14,3,1,4,5,6,3,1,1,5,4,3,1,9,6,9,1,14,101,35,5,5,9,63,12,110,5,1,6,2,1,3,2,90,3,5,10,8,2,9,1,4,1,11,1,5,7,1,50,1,24,32,5499
Total,60,15,1,1,1,3,1,12,1,2,2,2,1,2,1,5,1,1,8,1,4,1,8,2,35,24,1,7,3,6,2,10,7,32,18,13,1,8,3,1,4,1,2,2,4,3,42,33,35,102,57,1,1,8,1,3,1,9,8,20,18,40,2,10,19,1,1,22,18,21,2,4,1,9,2,4,3,2,7,1,7,3,3,9,2,10,1,1,7,9,12,61,3,4,10,1,2,5,28,1,1,28,1,4,2,43,27,15,3,10,2,3,3,37,48,1,7,7,13,2,3,1,30,8,7,1,12,2,11,22,4,1,6,1,5,3,10,2,9,18,4,14,9,12,14,3,1,2,4,1,1,3,1,63,3,5,1,1,4,4,66,1,2,1,2,1,23,30,19,1,1,4,2,1,16,7,36,2,2,5,1,4,3,1,1,21,2,5,1,1,2,4,2,1,1,13,1,6,1,18,2,2,2,25,14,1,1,1,2,5,7,1,25,1,1,103,5,32,4,1,2,30,1,6,98,3,2,3,2,62,3,6,5,5,1,11,2,4,1,17,3,1,12,4,1,5,25,30,8,2,6,1,9,1,8,7,1,1,4,11,30,18,9,1,3,35,3,14,2,19,4,6,1,7,11,1,17,1,2,2,1,4,1,2,3,1,3,1,10,1,2,1,1,1,2,10,12,1,1,3,1,4,1,5,7,1,1,7,7,2,1,12,3,11,42,2,39,101,1,1,2,2,8,3,8,20,1,13,63,3,19,3,6,1,2,1,49,7,14,1,81,1,1,1,1,26,3,96,12,47,1,7,64,11,32,2,1,1,28,1,1,89,5,4,1,3,159,84,4,95,26,1,13,1,2,10,19,55,43,53,17,2,1,1,3,1,1,1,1,4,31,12,2,2,8,2,5,1,14,2,1,2,6,22,1,1,3,11,2,1,2,204,34,2,2,1,12,36,14,3,1,4,5,6,3,1,1,5,4,3,1,9,6,9,1,14,101,35,5,5,9,63,12,110,5,1,6,2,1,3,2,90,3,5,10,8,2,9,1,4,1,11,1,5,7,1,50,1,24,32,5499
