Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,2,3,344,24,87,1,11,65,5,168,10,46,27,4,783,490,0,1,783,14,1,5,5,2,408,32,21,831,3,339,1,111,2000,1254,7881
Bus,32,4504,256,924,1773,6759,257,74,981,206,2729,1312,2726,520,784,10249,4453,28,0,8204,69,89,15295,22,200,3353,3382,213,5033,19,4972,120,672,6739,19101,106050
Construction Equipment Vehicle,7,1130,248,1267,24,851,34,27,0,65,2926,264,973,146,3,2207,420,0,0,2518,21,73,1659,135,619,576,127,4,4407,17,1403,157,249,1696,852,25105
Four Wheeler,1794,57629,4232,48240,47754,35579,18045,3364,133326,17905,204471,34604,140723,38354,40181,207329,210447,1592,11,322760,9849,6531,94831,2834,6058,40160,146922,6617,149157,3883,171779,4178,40456,213349,86549,2551493
Goods Vehicle,188,17484,696,11263,18905,15278,941,794,9794,1525,43552,7267,23228,10896,5498,45504,17819,421,0,71158,2057,1164,24418,1078,8123,16672,22312,352,44054,285,40794,1185,5083,49075,27080,545943
Public Service Vehicle,24,2761,234,924,1768,900,231,74,981,202,2232,1190,2711,504,997,6381,4613,27,0,6994,25,79,4474,18,65,1231,1770,212,5026,18,5459,103,644,6687,4548,64107
Special Category Vehicles,4,249,18,79,20,504,2,35,31,23,1433,50,1027,66,2,1531,241,0,14,815,1,15,321,4,76,117,3004,4,641,1,674,12,27,272,266,11579
Three Wheeler,136,54602,487,8409,32470,5627,261,58,11199,116,56601,254,15762,14576,2522,37651,36036,0,28,79515,991,1141,13618,342,632,17210,4893,120,14904,0,21219,2036,2148,36398,4389,476351
Tractor,1,14166,78,2662,39916,23523,20,31,62,54,55439,1444,33086,8595,2274,34673,317,13,6,42748,43,77,77565,8,48,10919,33056,31,80338,5,9360,9,3035,100997,13186,587785
Trailer,0,15013,27,366,10729,8433,1,8,0,11,9992,2,15,5004,16,20354,12,1,0,16734,27,1,5902,0,18,9163,69,8,329,0,1662,2,505,421,605,105430
Two Wheeler,6272,708292,9002,187457,523164,399304,27685,11239,370120,55328,1126896,61529,438646,271182,57810,1191784,632505,294,258,1711901,8777,20518,823809,10078,4562,436805,599498,46310,1024081,612,1395547,22974,147864,1953189,604938,14890230
Total,8458,875832,15281,261935,676547,496845,47478,15715,526559,75440,1506439,107926,658943,349870,110091,1558446,907353,2376,318,2264130,21874,29689,1061897,14524,20403,536614,815065,53892,1328801,4843,1653208,30777,200794,2370823,762768,19371954
