Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,2,8,248,12,204,1,21,110,35,470,15,213,406,237,421,511,1,0,767,18,1,4,12,0,236,40,18,775,40,212,31,131,1099,1822,8121
Bus,45,5724,1458,1187,1892,7229,226,230,1047,289,3906,1184,4208,1095,672,11560,5163,33,1,7972,140,181,14119,28,325,3492,3894,311,5368,54,5034,88,908,10106,13954,113123
Construction Equipment Vehicle,6,2372,370,3462,36,1152,21,36,0,92,4014,420,1205,1099,184,3796,698,0,0,3183,100,64,1720,184,1256,478,182,10,7197,13,3662,87,465,1863,1697,41124
Four Wheeler,2645,79489,7064,74096,53181,43434,18472,4623,184228,22220,284753,48881,163231,56824,51388,236793,251093,1621,20,379263,10752,7041,121672,3492,6152,54646,131749,9602,168035,3937,221388,5016,49373,292811,100235,3149220
Goods Vehicle,316,27421,1768,17475,22033,20369,711,1156,13181,1726,45955,7623,30790,15425,7864,46521,18985,484,0,90151,2188,1577,26505,1452,14701,23151,22395,512,50790,272,53003,2288,5398,67879,34148,676213
Public Service Vehicle,11,4075,1453,1183,1891,1405,173,235,1047,285,3590,1175,4210,1022,887,9190,5300,30,0,7849,103,171,4538,18,236,1863,1886,360,5394,54,5674,84,902,10066,3284,79644
Special Category Vehicles,7,444,9,76,9,560,0,28,0,30,1130,67,952,15,7,1740,260,1,1,1520,10,1,700,6,60,231,1889,11,571,0,785,2,25,494,405,12046
Three Wheeler,283,46478,812,14660,38353,5194,532,72,29200,84,55737,225,13934,18554,3197,37917,29444,1,19,84650,961,1125,19650,465,595,18201,5500,105,17039,0,24994,3003,5649,76511,17043,570187
Tractor,5,16438,87,6552,36930,19086,6,31,10,50,55049,1030,25663,11888,2676,33073,460,28,1,50852,22,77,69816,9,39,15588,21023,27,69747,0,16539,9,3943,94670,14851,566275
Trailer,0,22590,25,1320,17879,6733,0,6,0,7,4733,5,169,5453,2,15087,8,2,0,1580,15,2,3244,0,1,10976,47,5,1740,0,983,2,2343,1648,575,97180
Two Wheeler,6672,931376,11563,308539,742986,458194,28459,12978,479771,62265,1266697,79247,513678,474257,98535,1217405,711594,659,318,1938737,14640,17837,1043371,14434,5933,643815,653906,57821,1070482,1077,1582732,35661,196723,2533812,863100,18079274
Total,9990,1136409,24617,428798,915202,563560,48601,19416,708594,87083,1726034,139872,758253,586038,165649,1613503,1023516,2860,360,2566524,28949,28077,1305339,20100,29298,772677,842511,68782,1397138,5447,1915006,46271,265860,3090959,1051114,23392407
