Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,3,9,168,36,131,24,9,24,21,900,99,440,123,40,367,689,1,0,688,70,37,2,9,12,701,236,5,444,3,326,25,176,3775,607,10200
Bus,57,5579,1005,1220,2616,3253,244,241,967,250,4863,924,4992,984,852,5930,4383,41,0,8891,114,210,12271,44,735,2047,2334,234,4092,33,8261,86,1252,10427,9343,98775
Construction Equipment Vehicle,10,2332,990,4577,310,2110,3,50,0,79,5508,960,1991,1198,299,4014,1336,4,0,7378,326,204,2760,306,1267,1727,624,23,8368,21,5007,121,555,4500,2069,61027
Four Wheeler,2144,80311,8390,74472,64217,54518,18438,4111,158384,22932,268545,53952,181866,56456,54453,209430,214410,1463,37,323003,11547,7906,133132,5201,7320,57173,112430,7329,169290,5941,200341,5165,43239,306678,91801,3016025
Goods Vehicle,154,30584,1669,21517,26866,20914,856,2050,19239,1745,54180,9983,36410,14725,8495,56723,25930,238,2,110383,3725,1792,33696,2225,12521,30109,20473,595,52712,347,68455,2459,6581,74746,39817,792916
Public Service Vehicle,26,3839,1006,1215,2613,1290,244,244,967,250,4862,930,4996,983,1011,5884,4291,41,0,8940,107,210,4825,44,711,1793,2340,245,4196,32,9466,86,1251,10721,2845,82504
Special Category Vehicles,4,655,22,143,65,970,3,47,63,34,1341,261,1728,48,7,1471,302,0,2,2380,9,13,1753,10,78,406,1793,4,1019,0,1126,2,51,1151,524,17485
Three Wheeler,89,62741,1009,27329,67323,7472,701,145,30426,86,76744,302,26483,19501,3464,49602,31277,0,14,95845,925,1333,28214,276,1136,23317,8968,175,22138,0,42769,3042,7530,102530,29923,772829
Tractor,0,17494,187,8026,35363,27280,10,60,11,30,45553,1845,36998,9428,2464,37853,630,17,1,55669,23,25,87605,7,5,17471,21990,38,71699,1,23025,6,2713,120364,21151,645042
Trailer,0,20374,46,2000,11680,4406,0,24,0,1,5531,2,271,1215,0,12954,7,1,0,10677,39,0,2836,0,8,7422,46,8,23,0,102,1,403,851,514,81442
Two Wheeler,6674,913416,21643,377454,1058180,549349,25847,11512,429884,49058,1164096,70204,561841,455391,74289,1200654,636129,278,333,1692772,16570,25807,1233982,22846,5862,685805,590798,49886,1148889,4015,1619595,45346,183377,2737426,987348,18656556
Total,9158,1137328,35976,518121,1269269,671693,46370,18493,639965,74486,1632123,139462,858016,560052,145374,1584882,919384,2084,389,2316626,33455,37537,1541076,30968,29655,827971,762032,58542,1482870,10393,1978473,56339,247128,3373169,1185942,24234801
