Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,4,12,149,26,621,19,7,30,6,920,131,264,70,62,415,259,3,0,983,40,10,0,21,20,695,130,6,312,3,1127,75,101,423,610,7554
Bus,20,2144,364,468,1276,1322,93,111,824,121,1393,470,3191,553,942,3838,1392,18,0,4978,54,89,3604,18,279,868,1734,80,2664,47,3667,27,734,4726,3868,45977
Construction Equipment Vehicle,8,2104,797,3941,1910,1429,9,30,25,32,4753,1297,1467,939,515,4876,1123,0,0,6437,288,133,2271,262,295,1937,842,14,6792,38,4732,166,514,3731,1483,55190
Four Wheeler,1359,70358,6177,62020,58112,43657,14416,3082,119155,11354,222054,53099,145913,50271,60402,176373,157729,1728,15,264974,9430,4565,114362,4007,5815,48448,86670,5517,135191,3579,153264,4713,37311,257934,83180,2476234
Goods Vehicle,173,16952,982,14862,18242,10660,551,1005,11549,1354,32350,6702,20993,9665,8629,37628,17950,415,0,68567,2563,1088,21249,1693,4790,19214,12417,370,32121,288,43757,1993,4223,46895,25133,497023
Public Service Vehicle,17,1416,363,466,1275,497,93,111,824,122,1395,502,3193,557,1062,3777,1333,18,0,5027,54,89,1526,18,279,845,1732,83,2693,47,4360,27,734,4740,1551,40826
Special Category Vehicles,1,829,12,132,63,806,7,28,0,18,1085,296,1488,64,10,752,146,0,1,1701,17,9,1338,7,0,416,2120,9,1247,0,1637,2,32,1406,408,16087
Three Wheeler,118,27009,199,16904,51032,3158,561,38,13533,63,28655,408,12080,15772,3596,23582,14864,1,12,35633,485,314,16827,792,335,11541,5282,98,15326,0,18910,6947,3380,59465,19587,406507
Tractor,3,19182,219,12957,48409,25943,30,33,12,31,53398,2539,35233,13563,411,42850,699,15,2,74436,16,2,98152,8,5,18686,23833,64,85784,0,25230,10,3080,123204,20019,728058
Trailer,0,13464,22,4016,11245,6899,0,28,0,4,4915,5,334,202,1,14088,4,2,0,13207,21,0,2276,0,10,4919,14,8,18,0,196,8,206,365,281,76758
Two Wheeler,4540,824537,12153,291588,846563,388156,15001,8800,278240,29453,774549,68645,386052,391976,109606,901443,446998,232,211,1304039,10534,9755,1001152,16581,4701,494579,381805,36003,828144,3263,1239451,37099,135727,2127975,903603,14313154
Total,6239,977999,21300,407503,1038153,483148,30780,13273,424192,42558,1125467,134094,610208,483632,185236,1209622,642497,2432,241,1779982,23502,16054,1262757,23407,16529,602148,516579,42252,1110292,7265,1496331,51067,186042,2630864,1059723,18663368
