Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,10,7,180,15,212,0,9,146,8,114,10,63,110,41,617,541,0,0,450,16,0,5,9,0,180,36,33,720,10,424,1,107,1520,1284,6878
Bus,46,6307,1141,1228,1767,7094,299,138,1373,256,4918,1062,4050,845,399,9367,6437,50,2,9451,245,120,14309,39,325,3043,3720,396,5798,41,6313,211,1195,10312,15738,118035
Construction Equipment Vehicle,7,2201,384,2169,15,548,6,31,0,88,3553,316,682,253,29,3912,989,0,1,2564,58,114,1419,121,984,350,169,12,5681,23,2785,112,452,1802,1511,33341
Four Wheeler,2410,73717,5135,56547,49945,37550,17548,4390,176134,18939,247796,42831,151150,44722,37168,252130,231151,1480,10,375257,9352,6763,105199,2532,5922,46217,122356,8036,152722,4199,212970,4146,41337,249279,89709,2886749
Goods Vehicle,231,24648,1505,13580,19676,16056,614,1134,10631,1546,49475,7429,29247,12870,4932,48250,19074,394,1,84908,1670,1394,23149,1046,12639,20028,22004,475,49189,398,50911,2198,5293,51656,34454,622705
Public Service Vehicle,23,4534,1124,1229,1764,1290,276,139,1372,253,4122,988,4054,836,686,6462,6591,48,0,7985,200,110,4982,27,236,1671,1673,401,5803,40,6950,159,1183,10276,3332,80819
Special Category Vehicles,3,377,23,123,6,477,0,52,43,18,1592,89,813,22,2,1871,265,0,0,1146,5,5,726,5,83,172,2305,11,638,0,1084,4,14,497,524,12995
Three Wheeler,212,59904,553,10880,38044,4808,2051,48,36260,130,58577,287,17897,15824,1881,42481,28880,1,27,65335,1399,1209,16194,328,879,18945,5615,242,20300,0,24515,2919,2654,58041,11326,548646
Tractor,3,17482,100,4799,36649,17638,8,32,38,81,44771,1173,21336,9496,1802,35364,396,9,3,36688,23,57,53417,9,27,13178,19736,39,63832,0,15518,7,3090,79555,15007,491363
Trailer,0,22985,44,510,19593,6713,0,15,0,15,13537,0,50,5103,2,19600,4,2,0,10565,12,2,3398,0,7,10324,32,17,483,0,1453,10,38,626,761,115901
Two Wheeler,6570,824623,9226,239978,704909,382187,26894,12377,457082,57429,1170908,70477,465241,358230,67369,1252119,658366,341,285,1833406,10766,19746,882567,10706,5293,536400,598977,56966,1018240,758,1586122,30150,169491,2182949,792099,16499247
Total,9505,1036788,19242,331223,872383,474573,47696,18365,683079,78763,1599363,124662,694583,448311,114311,1672173,952694,2325,329,2427755,23746,29520,1105365,14822,26395,650508,776623,66628,1323406,5469,1909045,39917,224854,2646513,965745,21416679
