Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,2,3,208,37,269,1,1,77,4,170,23,39,10,12,469,361,0,0,628,26,0,1,4,0,147,70,19,793,19,220,1,129,670,1243,5656
Bus,45,6995,212,791,2005,4047,213,92,1075,436,2972,865,2692,809,769,11246,5158,27,1,8476,152,62,15586,42,214,7130,2607,269,6925,28,7347,37,1030,6376,13702,110433
Construction Equipment Vehicle,2,1757,237,1668,20,680,15,47,0,183,4523,246,1833,181,14,3117,1265,0,1,3918,39,86,1512,153,834,304,246,14,4090,17,4427,80,229,1433,791,33962
Four Wheeler,1700,57063,4216,44493,37960,28829,22545,3491,156606,18372,220638,31314,141339,35526,38502,194762,182863,1138,22,338115,11037,9094,82048,3358,5774,36452,135678,9025,111528,4969,184440,4352,38427,180767,81435,2457878
Goods Vehicle,162,25644,396,11640,13670,13664,900,1188,11079,5038,54049,8265,37048,11797,6611,48011,30022,391,1,84874,3761,927,27500,1196,11406,21266,27942,1076,38999,529,74734,1712,6577,48361,37076,667512
Public Service Vehicle,33,5304,204,791,1999,740,183,95,1072,430,2407,786,2674,790,937,6846,5287,24,0,7407,47,49,5119,35,67,1790,1635,256,6921,26,7683,20,1007,6325,2721,71710
Special Category Vehicles,5,752,7,105,10,676,2,68,45,57,1965,81,1579,105,3,1906,388,1,0,1909,38,2,499,14,133,96,2909,11,769,6,1917,25,69,240,634,17026
Three Wheeler,329,48927,140,6816,16786,3509,560,78,6936,125,65843,330,15085,11693,2277,40782,75550,1,30,22740,896,1955,12817,333,748,13306,5675,184,13584,0,16694,2274,2231,44401,8600,442235
Tractor,2,13963,37,2009,17432,11276,11,44,287,69,25320,1843,28183,6025,1461,32237,617,28,8,25533,45,100,50500,22,116,9559,19790,90,57112,2,20283,24,3171,82950,12444,422593
Trailer,0,17390,12,490,9252,5062,0,24,0,12,7124,1,74,3764,10,18968,2,0,0,9495,23,1,5563,0,4,8787,107,28,86,0,4035,1,284,554,1644,92797
Two Wheeler,4925,542046,5558,141650,283974,267420,26282,9343,304679,50717,1017603,45555,401038,207343,45372,930307,485477,88,239,1464957,7661,11037,692798,9275,3616,325754,378696,72062,728659,602,1412869,19790,120889,1355028,452257,11825566
Total,7203,719843,11022,210661,383145,336172,50712,14471,481856,75443,1402614,89309,631584,278043,95968,1288651,786990,1698,302,1968052,23725,23313,893943,14432,22912,424591,575355,83034,969466,6198,1734649,28316,174043,1727105,612547,16147368
