Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,5,223,15,99,0,5,91,2,96,5,33,6,6,593,235,0,0,427,17,1,0,8,2,247,10,31,237,5,228,0,68,355,563,3613
Bus,29,4807,120,296,1644,4023,135,69,1275,307,1677,1081,1844,696,870,9848,4888,25,5,5022,91,57,11778,30,164,6746,2028,184,5657,22,5366,49,1039,5017,11287,88176
Construction Equipment Vehicle,3,737,109,1118,8,602,4,10,0,54,1871,274,559,63,2,1252,587,0,1,1574,25,51,783,67,525,238,136,6,1935,18,1572,71,109,524,767,15655
Four Wheeler,1598,42830,4273,26030,21796,22284,18973,2725,110434,13422,116859,26611,96296,28589,24209,139134,148650,1107,38,217302,9325,7664,63350,2389,4837,27234,102526,5161,86720,2144,127264,2723,24816,153521,59042,1741876
Goods Vehicle,200,15949,282,5751,11202,8805,394,838,8186,2133,23537,5054,17454,9104,4328,28417,17166,220,0,36712,2494,518,15262,659,6394,15292,14997,744,24536,350,43526,1433,4194,31379,23585,381095
Public Service Vehicle,17,3322,114,295,1639,918,83,66,1275,239,1289,970,1830,668,991,6088,5204,23,0,4429,27,54,3239,21,34,1671,1207,183,5650,21,5401,29,996,4939,3778,56710
Special Category Vehicles,2,741,0,83,5,339,1,32,91,16,1039,60,798,64,2,1299,563,0,5,844,68,3,253,7,72,114,2460,11,449,3,1780,63,52,183,520,12022
Three Wheeler,188,40567,163,2806,6808,1423,1397,72,11076,97,26965,408,7119,8393,1422,30046,46655,0,30,19391,581,1187,7304,145,240,11101,3810,132,9345,0,20015,911,2747,31106,11444,305094
Tractor,14,9315,31,769,4597,5722,11,46,73,15,11377,1118,24028,4758,897,20805,472,13,6,11018,22,49,28200,9,61,7115,15435,85,30181,0,13810,40,2893,54528,6836,254349
Trailer,0,14209,4,200,3055,3720,0,19,0,1,3349,0,25,2870,0,11339,6,0,0,2760,19,5,5592,5,8,6344,117,20,150,0,3529,3,470,531,1120,59470
Two Wheeler,4458,370057,4433,55401,54242,143182,14937,6441,243307,22197,349478,34112,262850,146975,30492,611512,280944,39,365,799059,5286,8548,520969,7294,1591,228752,248691,56111,251319,167,903569,12365,79379,978564,270623,7007709
Total,6509,502534,9534,92972,105011,191117,35935,10323,375808,38483,537537,69693,412836,202186,63219,860333,505370,1427,450,1098538,17955,18137,656730,10634,13928,304854,391417,62668,416179,2730,1126060,17687,116763,1260647,389565,9925769
