Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,235,24,763,430,353,30,23,81,80,770,120,525,92,105,940,375,15,0,1683,61,4,270,26,15,445,281,16,1433,15,761,32,203,715,638,11559
Bus,50,4990,1081,1386,2531,3468,564,2192,2508,551,5530,971,7866,1595,2634,10339,5324,93,1,10568,114,22,5521,25,650,3980,2245,347,4621,44,7733,118,1495,10766,4535,106458
Construction Equipment Vehicle,16,2208,1030,2306,1644,3005,16,68,1,169,9088,683,2197,1640,611,5089,726,149,0,11029,652,53,5973,168,746,4665,1011,34,11197,59,5184,162,887,7909,2348,82723
Four Wheeler,2253,87284,14006,83375,80269,68874,20221,6137,195430,24717,357667,54230,301299,61071,57154,314297,209940,3003,7,502148,13768,4977,190328,4655,7828,80327,158596,13317,222825,5154,274737,5985,61349,467821,111595,4066644
Goods Vehicle,287,25120,1426,20515,23405,26978,813,3538,17526,2771,65470,11055,48695,16751,8512,63439,22970,888,0,120493,4001,401,29159,1978,11388,32234,18090,459,61554,483,62187,2332,6359,71419,29721,812417
Public Service Vehicle,51,4640,1081,1388,2504,1613,559,2195,2503,548,5495,983,7863,1415,2657,10863,5530,94,1,9941,114,19,4926,25,650,3614,2247,356,4668,35,9695,118,1492,10668,3302,103853
Special Category Vehicles,9,368,2,204,344,1575,7,87,7,35,1778,112,2596,38,29,1094,122,7,1,4625,15,7,2098,7,7,599,3468,4,1537,0,991,35,8,1899,573,24288
Three Wheeler,141,39658,154,74365,120796,15317,3080,90,46346,173,81786,637,36109,25918,13368,73857,29084,0,6,87327,875,490,52152,414,686,23331,27085,407,48662,0,55426,13686,12219,310557,27621,1221823
Tractor,0,24761,853,8512,34732,41224,16,41,3,26,99962,2010,43534,12718,3748,53772,556,53,0,84590,26,14,115814,6,29,20296,30106,56,118804,0,27767,25,3818,141228,18081,887181
Trailer,0,10211,71,490,5122,9492,0,60,0,2,3289,11,542,25,34,13006,11,298,0,13660,6,0,338,0,7,1859,4,0,46,0,12,30,131,383,159,59299
Two Wheeler,5706,719111,18096,437486,1125818,545642,21643,12013,449365,55785,1273656,77882,553026,459512,93045,1351892,509772,932,87,2052334,22841,22063,1266584,22743,6401,643628,464600,50929,1182473,5939,1516670,41246,195298,2745496,990867,18940581
Total,8513,918586,37824,630790,1397595,717541,46949,26444,713770,84857,1904491,148694,1004252,580775,181897,1898588,784410,5532,103,2898398,42473,28050,1673163,30047,28407,814978,707733,65925,1657820,11729,1961163,63769,283259,3768861,1189440,26316826
