Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,2,0,20,389,1237,2420,23,7,72,34,788,188,332,97,180,838,315,28,0,902,74,50,0,44,49,167,222,30,880,27,801,78,135,1211,462,12102
Bus,5,2508,329,744,1210,1033,179,208,1157,128,3221,646,3758,603,608,4575,2371,84,0,4327,121,37,2966,14,290,1547,1480,58,1759,46,2733,51,572,5157,2957,47482
Construction Equipment Vehicle,4,1822,743,3133,1400,1612,30,35,0,71,6863,492,1533,759,571,4151,1389,80,0,6511,296,157,1697,195,394,2530,589,5,9578,68,4456,209,559,4980,1761,58673
Four Wheeler,1635,89314,10368,84111,70560,54332,25898,4522,182185,19384,318070,43376,216308,54410,54781,272035,202215,2599,11,438248,12932,10634,156623,4424,8363,71207,120609,8963,178110,4790,234779,4931,49046,359674,105408,3474855
Goods Vehicle,397,28705,1574,25653,17949,23175,935,4134,25720,2261,54770,9567,48074,12880,10952,63601,24403,702,0,115765,4231,1885,26764,2120,10270,24124,17324,443,58152,735,68051,2357,6053,72984,33541,800251
Public Service Vehicle,5,2045,324,742,1210,625,179,215,1157,128,3226,659,3762,598,728,5088,2420,84,0,4396,118,37,1798,14,290,1649,1481,62,1836,46,4085,51,573,5173,1294,46098
Special Category Vehicles,3,395,26,180,303,863,0,60,2,20,2082,74,2154,19,4,792,244,3,0,2720,7,10,1476,8,0,536,2472,0,1359,1,1008,3,18,1862,341,19045
Three Wheeler,240,28028,144,46238,72222,6841,1766,90,29382,96,44912,320,25269,15450,6482,30759,19353,1,7,46749,466,906,23559,474,460,10883,9593,99,35419,0,22269,8027,10681,180313,6426,683924
Tractor,1,22811,484,5914,43845,26067,28,35,1,30,61698,1604,40781,10646,3912,59141,1301,44,1,99165,38,22,108027,7,12,14813,23371,74,104180,0,28758,28,3543,120393,16154,796929
Trailer,1,14664,25,593,7529,5835,2,24,0,4,4083,2,550,36,1,18122,6,392,0,16028,10,0,1560,0,5,2328,14,1,12,0,19,12,141,342,343,72684
Two Wheeler,4771,653791,12992,349694,913389,379426,22038,9814,369802,48770,1071956,62690,402023,396420,85127,1077661,532398,2080,116,1643881,17486,41468,1039606,19778,5846,505516,380118,40680,897594,4905,1336497,36950,160288,2266257,806732,15598560
Total,7064,844083,27029,517391,1130854,502229,51078,19144,609478,70926,1571669,119618,744544,491918,163346,1536763,786415,6097,135,2378692,35779,55206,1364076,27078,25979,635300,557273,50415,1288879,10618,1703456,52697,231609,3018346,975419,21610603
