Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,2,3,536,23,503,1,6,141,1,158,29,47,10,6,587,438,0,0,573,21,2,2,11,0,480,33,22,789,9,179,1,185,1338,1026,7162
Bus,56,5054,211,882,2089,4344,195,70,1172,489,2940,923,2676,901,911,11594,5604,31,2,9201,156,94,17946,24,330,4571,3941,264,7900,25,6662,58,1057,7474,18512,118359
Construction Equipment Vehicle,7,1115,359,1501,23,1020,44,37,0,57,2777,260,1218,219,3,2490,788,0,0,2911,36,74,2194,141,823,316,191,9,5040,18,2017,148,158,1557,1133,28684
Four Wheeler,1639,58343,4434,47736,53225,34247,19823,3416,126837,16670,188838,33571,151003,40174,41624,196263,213054,1225,20,319454,12361,7387,98120,3606,6767,37946,152928,6818,137151,4277,179921,4424,38836,202598,84933,2529669
Goods Vehicle,180,22433,742,12541,18670,14514,1111,1056,9727,1823,50476,8449,25178,12185,6651,49608,28397,375,3,80239,3648,1210,31111,1298,9063,14853,26090,764,43300,483,56033,1596,5398,53786,36234,629225
Public Service Vehicle,53,3073,208,882,2078,955,151,72,1172,475,2473,725,2641,886,1174,7431,5747,27,0,8185,51,86,5595,18,94,1514,2002,266,7892,24,6970,50,1042,7417,4443,75872
Special Category Vehicles,10,361,8,119,41,704,0,42,27,19,1388,87,1109,86,2,2236,325,0,1,1193,2,7,395,2,104,112,2586,7,638,4,914,15,23,247,354,13168
Three Wheeler,167,45298,329,7084,36009,4879,291,85,13788,132,53672,396,13679,14809,2563,42641,51541,1,20,35127,1075,1408,14155,746,1134,16352,5341,109,16763,0,18469,1975,968,37361,5728,444095
Tractor,4,10415,52,2314,37634,19107,14,36,253,66,25261,1210,31740,8274,2864,28368,518,39,5,34583,43,118,81945,10,83,9713,34180,77,79999,0,15999,4,3587,93541,12958,535014
Trailer,0,11653,20,410,9831,7182,0,17,0,11,8135,1,24,4800,11,16754,10,5,0,3590,29,2,5703,2,6,8437,60,10,96,0,2461,0,1332,392,979,81963
Two Wheeler,5987,543404,8132,163684,446744,369683,24391,10890,334746,50424,1006035,52720,413671,243434,55872,1041165,640323,168,201,1542465,7859,18824,754041,10318,4699,383680,544632,44967,920426,666,1392613,21318,130310,1665106,543766,13397364
Total,8103,701151,14498,237689,606367,457138,46021,15727,487863,70167,1342153,98371,642986,325778,111681,1399137,946745,1871,252,2037521,25281,29212,1011207,16176,23103,477974,771984,53313,1219994,5506,1682238,29589,182896,2070817,710066,17860575
