Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,1,1,1,294,25,249,3,19,169,4,216,9,40,13,3,471,478,0,0,576,22,2,3,2,3,176,35,17,863,8,259,0,86,1668,973,6689
Bus,66,7585,200,751,1946,4318,183,98,1487,312,3323,1029,3360,871,983,11667,5733,30,1,10609,238,99,17791,52,288,6256,3235,258,8153,91,9578,41,1149,6881,17099,125761
Construction Equipment Vehicle,3,1592,205,1552,18,776,15,49,0,82,3551,279,1543,158,7,3070,1131,0,2,3278,53,74,1940,93,1041,240,246,21,4991,19,3575,159,203,1608,898,32472
Four Wheeler,1627,66520,4250,47960,50582,33652,25806,3859,145223,18879,222263,32598,156516,39148,40843,207855,208323,1545,27,357589,12553,8782,93184,3665,6752,39220,181751,7492,131014,7133,203817,4478,44211,204832,88188,2702137
Goods Vehicle,183,26919,596,13044,16985,15477,1005,1261,9288,2853,57700,7398,29382,12458,7217,53708,33806,436,3,89114,4198,1098,31926,1071,11250,14488,29746,1204,45723,1122,82187,1965,6207,61698,34977,707693
Public Service Vehicle,53,5242,184,752,1933,978,144,98,1487,297,2741,882,3335,850,1182,7201,5864,28,0,9438,66,91,5640,36,99,1465,1887,265,8141,66,9878,32,1135,6824,3114,81428
Special Category Vehicles,2,461,7,99,11,725,0,49,33,33,1770,58,1287,99,2,1706,440,0,1,1673,6,5,451,11,209,114,2389,14,599,6,1223,15,61,205,537,14301
Three Wheeler,332,44477,173,6198,26489,4287,378,59,15583,121,64713,383,13856,12809,2391,44659,80903,0,36,27399,939,2132,14891,748,683,14992,6673,787,14321,0,14336,2877,1731,47294,3499,471149
Tractor,5,11847,56,2165,26681,12544,54,38,466,24,22627,1532,28071,7274,2271,29462,632,17,3,25455,48,136,62413,15,101,8371,26848,71,73344,3,20745,14,2854,84838,11551,462576
Trailer,0,15125,7,419,10321,5470,0,29,0,25,9267,1,82,4327,5,18206,4,1,0,5798,45,4,5345,0,1,7479,68,10,131,0,3698,0,381,436,1336,88021
Two Wheeler,6190,582633,6960,143719,371629,289557,24597,9824,312293,53342,1045401,47113,392264,225349,48477,1006558,644617,214,248,1523057,8032,16515,691325,9986,4410,343339,586345,56000,821521,1311,1548739,20315,129702,1501231,481580,12954393
Total,8462,762402,12639,216953,506620,368033,52185,15383,486029,75972,1433572,91282,629736,303356,103381,1384563,981931,2271,321,2053986,26200,28938,924909,15679,24837,436140,839223,66139,1108801,9759,1898035,29896,187720,1917515,643752,17646620
