Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,13,23,85,404,132,849,23,10,91,33,1025,104,490,78,123,676,574,21,0,1033,68,74,531,24,12,733,271,32,1485,23,868,40,141,1417,666,12172
Bus,34,3755,539,1243,2284,1983,256,1300,1954,383,4182,973,7212,1269,1746,6678,4942,97,0,9735,128,26,3816,26,598,2836,1476,235,3244,38,4524,41,1735,10361,3220,82869
Construction Equipment Vehicle,13,2323,973,3512,1497,2090,10,138,1,120,8293,455,1817,1057,707,5354,1216,140,0,8057,417,143,5054,157,483,3446,717,10,12564,32,5806,240,667,6375,1961,75845
Four Wheeler,1979,95667,12766,93578,75506,60074,26927,5385,199831,24886,353151,47766,258122,57644,57242,306312,202916,2898,14,473413,14066,5129,171830,5158,8593,77742,140565,10864,201847,5129,262684,5350,56132,419037,107226,3847429
Goods Vehicle,363,28737,1436,24779,19475,28309,882,4731,19837,2645,63334,9702,49213,16387,9444,67260,23614,823,0,117755,3661,877,28749,1889,10113,31081,19121,425,65965,398,70458,1935,6677,80738,29049,839862
Public Service Vehicle,34,3299,536,1253,2109,1119,238,1308,1942,360,4112,991,7231,1063,1832,7384,5003,97,0,9185,127,23,3118,24,598,2559,1435,216,3215,28,5955,41,1719,10171,2221,80546
Special Category Vehicles,3,381,41,212,444,1134,0,47,28,20,1756,65,2281,33,33,766,249,4,0,3911,8,18,2107,1,1,667,3667,2,1550,0,950,13,29,2016,402,22839
Three Wheeler,715,48379,150,70354,108100,12759,3332,95,33581,149,76565,420,38606,22854,11415,59030,32768,1,3,77445,749,671,49804,503,754,19086,20508,177,49486,0,44838,9742,13262,286129,12947,1105377
Tractor,5,32134,883,7911,40377,29751,8,38,7,35,98651,1977,43275,11339,3136,55987,893,41,0,80989,32,17,117032,5,20,17301,26681,114,121970,0,30856,46,4034,127286,14877,867708
Trailer,0,10838,57,534,6236,5884,0,84,0,3,4013,3,780,30,11,14299,11,360,0,13013,5,1,322,0,5,2106,10,2,10,0,26,38,127,523,263,59594
Two Wheeler,4944,672625,13950,450910,1034433,422669,21795,10569,402635,53051,1210156,66084,434424,434389,87632,1229692,491834,768,81,1778949,21180,19638,1118917,20968,6565,585246,427853,43523,1066068,5400,1403580,39204,174170,2510983,832679,17097564
Total,8103,898161,31416,654690,1290593,566621,53471,23705,659907,81685,1825238,128540,843451,546143,173321,1753438,764020,5250,98,2573485,40441,26617,1501280,28755,27742,742803,642304,55600,1527404,11048,1830545,56690,258693,3455036,1005511,24091805
