Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,98,2,96,357,85,24,7,61,12,178,18,147,27,21,227,144,0,2,412,28,0,137,7,13,436,91,16,478,8,218,12,53,2695,140,6250
Bus,11,1243,410,487,1176,1680,145,680,690,175,1004,336,1967,577,998,1680,1324,23,0,3905,77,9,1800,11,219,1073,708,70,980,38,1640,36,440,4607,1930,32149
Construction Equipment Vehicle,3,604,368,629,505,1028,5,21,0,62,3598,141,811,465,172,1577,199,20,0,4458,201,17,1838,39,317,1705,306,6,3057,21,1798,100,208,2287,703,27269
Four Wheeler,597,24640,4288,19736,25720,26314,6204,2147,61473,6956,104948,17153,96850,19565,18261,96408,65006,362,9,161481,4253,1717,79242,1352,2365,24787,52125,4534,74776,1283,88727,1795,18991,161913,34012,1309990
Goods Vehicle,88,7762,550,4804,8700,8398,293,809,5579,919,21711,3157,17072,5058,2387,19776,7357,142,4,42843,921,178,9312,586,3283,8955,4951,135,19978,157,19196,872,1919,21861,9219,258932
Public Service Vehicle,11,1170,409,490,1171,444,145,686,690,174,997,337,1971,529,1073,1948,1390,20,0,3727,77,9,1488,11,219,873,708,70,997,38,2330,36,438,4590,1354,30620
Special Category Vehicles,12,209,8,45,219,399,0,16,0,17,597,33,1132,28,5,389,57,0,2,2113,5,0,1531,2,2,79,1219,1,620,0,464,5,4,1071,163,10447
Three Wheeler,23,10431,25,18516,29127,3943,706,39,20839,63,23484,183,8984,7196,3436,18848,7739,0,10,28342,194,203,13582,22,212,6575,5172,163,11286,0,16141,3972,3177,84771,13008,340412
Tractor,2,6702,216,2075,8197,12602,13,9,4,7,16259,773,12827,3535,1245,16904,258,7,0,30673,6,2,32621,2,3,5716,9099,21,32221,0,9254,11,992,43251,6011,251518
Trailer,0,2149,12,155,1714,3562,0,16,0,1,687,2,189,4,2,3817,2,47,0,5077,0,0,269,0,1,765,0,0,25,0,10,12,41,84,31,18674
Two Wheeler,1606,178759,4172,134424,275992,152167,5852,3660,126588,16284,320908,19673,145363,127270,20362,365805,145722,50,249,597530,6146,6168,315085,6389,1736,197209,131982,16539,253582,1400,461377,9741,44100,754029,253262,5101181
Total,2353,233767,10460,181457,352878,210622,13387,8090,215924,24670,494371,41806,287313,164254,47962,527379,229198,671,276,880561,11908,8303,456905,8421,8370,248173,206361,21555,398000,2945,601155,16592,70363,1081159,319833,7387442
