Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,15,12,77,382,472,363,30,21,81,34,1219,88,884,126,79,980,704,31,0,2965,53,31,3,42,46,394,187,18,1149,31,896,42,365,706,568,13094
Bus,42,1224,156,374,1065,682,67,70,305,97,2019,133,879,271,400,1029,388,14,0,1628,34,20,1876,21,94,609,291,14,670,32,350,3,122,1373,2806,19158
Construction Equipment Vehicle,16,2133,918,3721,2711,1559,19,39,0,77,6368,638,1537,815,606,4216,1355,7,0,6624,292,226,2155,298,532,3056,1151,7,8152,54,4459,250,510,4817,1681,60999
Four Wheeler,1216,92742,7999,69783,65316,49675,20375,3751,141167,14126,266158,43554,175432,56926,56066,212773,211066,2863,8,352978,9527,9091,134145,3657,7816,58316,108633,7715,150506,4268,200539,4420,43472,316506,100443,3003028
Goods Vehicle,237,24249,1065,16368,14067,13172,1101,2627,18866,1852,43979,8190,35294,9139,11234,43991,22987,440,0,84654,2673,1672,19352,2285,7282,20678,14912,379,36256,569,52352,1765,4845,52847,24223,595602
Public Service Vehicle,43,500,154,381,1065,142,66,71,305,97,2018,146,889,264,420,965,316,15,0,1488,31,20,519,21,94,594,291,15,707,32,1324,6,122,1370,584,15075
Special Category Vehicles,7,9911,11,175,16,1161,0,69,24,25,1748,74,1822,35,12,593,158,0,0,2468,7,16,2505,7,0,510,2478,2,1392,0,1866,2,18,2480,398,29990
Three Wheeler,153,22424,126,21181,45271,2848,600,47,22834,53,23605,176,11171,9986,3861,17966,13129,0,8,29791,374,545,12196,394,267,7365,3619,92,16576,0,15062,5823,5023,92380,12791,397737
Tractor,7,20856,321,8478,38020,27184,8,52,5,40,67881,1969,40817,12656,3458,49674,893,15,2,91250,29,10,93971,13,10,17325,27858,89,91363,0,28015,14,3762,123432,18117,767594
Trailer,1,14106,34,911,8811,6301,0,14,0,1,5032,2,268,46,0,16716,5,121,0,16512,21,0,2343,0,14,2877,13,0,27,0,5,21,175,339,206,74922
Two Wheeler,4040,748235,12785,336286,834215,353451,16435,9839,275545,34641,838202,59888,364112,380618,81417,830769,515222,235,235,1334378,12834,24270,880014,18497,5819,425703,358316,36819,756848,5052,1210521,33949,137738,2201308,796431,13934667
Total,5777,936392,23646,458040,1011029,456538,38701,16600,459132,51043,1258229,114858,633105,470882,157553,1179672,766223,3741,253,1924736,25875,35901,1149079,25235,21974,537427,517749,45150,1063646,10038,1515389,46295,196152,2797558,958248,18911866
