Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,1,7,432,150,104,9,13,42,46,404,37,261,81,145,695,274,4,0,705,33,3,2,9,0,344,78,12,366,12,186,22,141,753,665,6036
Bus,65,5674,842,1261,2193,5425,177,249,661,305,4390,1009,5067,1185,1039,9820,4578,93,1,8124,83,163,14400,22,528,2320,2710,282,3901,42,5620,94,1084,10897,11964,106268
Construction Equipment Vehicle,4,4539,597,4071,142,1490,8,49,0,86,6685,644,1933,1690,281,4833,1337,4,1,6442,213,99,2326,246,1328,1291,379,19,10137,46,6001,122,522,2875,2494,62934
Four Wheeler,2589,88225,7303,75641,69254,46280,17744,4598,172727,21457,289674,53128,177906,63066,65531,229588,247719,1940,19,358504,11718,7777,133295,4215,7638,60473,122976,8942,174924,4476,221991,5167,52767,306141,102815,3218208
Goods Vehicle,318,38103,1438,22303,28634,24772,751,1818,19205,1951,59033,8747,37442,19435,9339,63797,27111,435,3,120223,2960,1744,33872,1801,15913,30949,23086,612,58986,385,71526,2386,7409,95099,43585,875171
Public Service Vehicle,28,3922,833,1237,2193,1135,168,250,661,304,4391,1009,5077,1100,1307,7978,4736,94,0,8137,77,158,5024,22,443,1917,2392,290,3972,42,6052,94,1076,10965,2801,79885
Special Category Vehicles,6,716,19,135,10,482,1,39,0,31,1063,76,1225,6,7,1197,288,0,9,2090,5,8,830,2,83,240,864,5,726,0,1111,0,36,462,604,12376
Three Wheeler,147,53248,795,23490,47445,5134,537,119,35033,86,71015,268,19606,21024,3896,51964,32213,0,15,171993,930,859,23860,309,792,20692,7246,132,16507,0,36848,2277,6667,92148,23533,770828
Tractor,2,33142,141,15052,49320,17799,14,35,33,40,51821,954,34948,17706,2841,37930,582,44,3,62713,30,42,71856,8,23,15087,20464,63,65939,0,22791,7,3379,112390,24550,661749
Trailer,0,28150,27,5598,20730,5353,0,16,0,9,5096,4,323,8444,4,13472,7,7,0,10657,18,3,2994,1,14,9008,57,8,80,0,325,0,1023,1055,629,113112
Two Wheeler,7009,974715,11982,370789,1068101,474098,28158,13858,493795,57192,1335912,79899,581673,502739,100559,1285753,737887,832,360,1968936,17374,22567,1178242,17225,6789,719380,663704,55425,1145894,2199,1748188,50557,209728,2732610,927090,19591219
Total,10168,1230435,23984,520009,1288172,582072,47567,21044,722157,81507,1829484,145775,865461,636476,184949,1707027,1056732,3453,411,2718524,33441,33423,1466701,23860,33551,861701,843956,65790,1481432,7202,2120639,60726,283832,3365395,1140730,25497786
