Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
ELECTRIC BOV,92,9678,2,15632,23084,4216,731,29,25806,1095,9762,327,8658,3740,1147,33298,8732,6,4,29916,5,114,10442,1,2,5626,4648,405,23460,30033,2432,5322,66684,6408,331537
Total,92,9678,2,15632,23084,4216,731,29,25806,1095,9762,327,8658,3740,1147,33298,8732,6,4,29916,5,114,10442,1,2,5626,4648,405,23460,30033,2432,5322,66684,6408,331537
