Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
ELECTRIC BOV,46,41885,39,62328,97525,33161,5234,264,67881,9026,50009,1358,31294,20919,11639,128344,60352,18,5,155110,780,406,63689,512,9,46825,32217,3192,73846,7,97259,9249,15372,302702,34920,1457422
PLUG IN HYBRID EV,0,1,0,0,0,0,0,0,1,0,2,1,4,0,0,0,1,0,0,12,0,0,0,0,0,0,0,3,0,0,3,0,0,13,1,42
PURE EV,18,14606,10,5801,15334,15699,963,75,12430,2463,25750,398,11693,5061,1572,50805,22920,0,0,86848,18,16,36817,48,4,18487,12252,1321,35533,0,34210,366,4460,66592,10705,493275
STRONG HYBRID EV,18,997,50,293,285,616,874,153,4984,266,4583,349,4810,299,155,6287,3625,2,0,8936,34,23,932,14,32,661,2682,224,1848,10,4020,9,391,9096,938,58496
Total,82,57489,99,68422,113144,49476,7071,492,85296,11755,80344,2106,47801,26279,13366,185436,86898,20,5,250906,832,445,101438,574,45,65973,47151,4740,111227,17,135492,9624,20223,378403,46564,2009235
