Fuel,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,MZ,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
ELECTRIC BOV,19,1,4,20,184,2,1,369,31,434,3,21,15,5,1104,104,9,511,1,161,2,121,617,47,352,3,674,48,393,243,5499
Total,19,1,4,20,184,2,1,369,31,434,3,21,15,5,1104,104,9,511,1,161,2,121,617,47,352,3,674,48,393,243,5499
