Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
ELECTRIC BOV,23,29358,2,40699,55751,22364,2719,142,62249,5682,68993,1011,25862,13680,4690,95846,39617,40,1,136063,41,341,36818,36,3,28446,14057,1481,78221,66995,4177,15561,162867,11156,1024992
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Total,23,29358,2,40699,55751,22364,2719,142,62249,5682,68993,1011,25862,13680,4690,95846,39617,40,1,136063,41,341,36818,36,3,28446,14057,1481,78221,66995,4177,15561,162868,11156,1024993
