Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
ELECTRIC BOV,13,3780,8,13874,19664,3817,727,31,16070,842,3749,300,4450,4156,2100,16021,7520,0,3,13614,95,158,8897,185,1,3949,4305,296,9265,0,13829,2544,2356,66479,8842,231940
PLUG IN HYBRID EV,0,2,0,0,0,0,2,0,1,0,2,3,3,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,35
PURE EV,12,10166,14,3943,9632,8866,606,60,14332,1905,13639,306,5474,3202,829,39488,20907,0,3,65645,37,33,24898,81,5,14874,8538,998,19479,3,31025,408,1987,40946,9014,351355
STRONG HYBRID EV,6,542,38,110,164,488,508,84,2459,164,2223,175,2695,163,90,3113,2091,1,0,4582,26,13,740,8,20,417,1254,140,837,7,2153,5,202,4818,479,30815
Total,31,14490,60,17927,29460,13171,1843,175,32862,2911,19613,784,12622,7521,3019,58623,30519,1,6,83852,158,204,34535,274,26,19240,14097,1434,29581,10,47008,2957,4545,112251,18335,614145
