Fuel,AP,AS,BR,CG,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MN,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
ELECTRIC BOV,81,2,156,270,7,741,29,502,2,14,7,10,1028,126,16,999,5,312,102,545,40,342,2,703,29,625,269,6964
Total,81,2,156,270,7,741,29,502,2,14,7,10,1028,126,16,999,5,312,102,545,40,342,2,703,29,625,269,6964
