State,Total Consolidated
AN,2
AP,2157
AR,1
AS,10859
BR,12380
CG,2744
CH,507
DD,19
DL,23221
GA,42
GJ,947
HP,54
HR,5107
JH,1932
JK,75
KA,6138
KL,503
LA,1
LD,1
MH,7316
ML,13
MN,251
MP,3686
MZ,1
NL,29
OR,1160
PB,961
PY,81
RJ,6636
TN,3450
TR,1459
UK,5817
UP,55785
WB,13533
Total,166868
