State,Total Consolidated
AS,3831
BR,3594
CG,945
CH,23
DD,1
DL,17850
GA,38
GJ,173
HP,15
HR,2487
JH,1352
JK,1
KA,708
KL,79
MH,943
MN,5
MP,1409
OR,212
PB,137
PY,9
RJ,3945
TN,109
TR,2
UK,4223
UP,40648
WB,4452
Total,87191
