State,Total Consolidated
AN,92
AP,9678
AR,2
AS,15632
BR,23084
CG,4216
CH,731
DD,29
DL,25806
GA,1095
GJ,9762
HP,327
HR,8658
JH,3740
JK,1147
KA,33298
KL,8732
LA,6
LD,4
MH,29916
ML,5
MN,114
MP,10442
MZ,1
NL,2
OR,5626
PB,4648
PY,405
RJ,23460
TN,30033
TR,2432
UK,5322
UP,66684
WB,6408
Total,331537
