State,Total Consolidated
AN,36
AP,1643
AR,4
AS,8357
BR,12446
CG,1490
CH,369
DD,24
DL,12377
GA,82
GJ,1123
HP,181
HR,2980
JH,1516
JK,74
KA,9688
KL,1370
LD,7
MH,7130
ML,3
MN,102
MP,3361
MZ,1
NL,11
OR,903
PB,833
PY,89
RJ,5605
TN,5697
TR,3419
UK,2392
UP,31256
WB,10079
Total,124648
