State,Total Consolidated
AP,623
AR,1
AS,5
BR,17
CG,116
CH,1
DD,12
DL,724
GA,5
GJ,381
HR,18
JH,24
JK,5
KA,997
KL,322
LD,10
MH,721
MP,689
OR,325
PB,63
PY,155
RJ,63
TN,1800
UK,20
UP,220
WB,91
Total,7408
