State,Total Consolidated
AN,1
AP,20
AR,1
AS,19
BR,1100
CG,192
CH,1
DD,2
DL,21680
GA,33
GJ,141
HP,4
HR,1375
JH,705
KA,587
KL,20
LD,5
MH,928
ML,1
MN,2
MP,847
MZ,2
OR,25
PB,37
PY,7
RJ,3999
TN,82
UK,1158
UP,15315
WB,1530
Total,49819
