State,Total Consolidated
AN,26
AP,32877
AR,21
AS,60788
BR,88213
CG,38248
CH,6415
DD,161
DL,73695
GA,9482
GJ,88613
HP,1132
HR,30505
JH,21125
JK,9747
KA,152667
KL,75810
LA,28
LD,6
MH,194342
ML,115
MN,399
MP,67988
MZ,167
NL,6
OR,44543
PB,25746
PY,2638
RJ,93766
TN,90305
TR,6311
UK,16795
UP,278305
WB,21430
Total,1532415
