State,Total Consolidated
AN,31
AP,14490
AR,60
AS,17927
BR,29460
CG,13171
CH,1843
DD,175
DL,32862
GA,2911
GJ,19613
HP,784
HR,12622
JH,7521
JK,3019
KA,58623
KL,30519
LA,1
LD,6
MH,83852
ML,158
MN,204
MP,34535
MZ,274
NL,26
OR,19240
PB,14097
PY,1434
RJ,29581
SK,10
TN,47008
TR,2957
UK,4545
UP,112251
WB,18335
Total,614145
