State,Total Consolidated
AP,254
AR,1
AS,6
BR,77
CG,172
CH,3
DD,3
DL,614
GA,24
GJ,241
HP,2
HR,7
JH,4
JK,5
KA,624
KL,171
LD,14
MH,615
MP,180
MZ,2
NL,1
OR,73
PB,74
PY,79
RJ,82
SK,2
TN,859
UK,15
UP,312
WB,119
Total,4635
