State,Total Consolidated
AN,23
AP,29358
AR,2
AS,40699
BR,55751
CG,22364
CH,2719
DD,142
DL,62249
GA,5682
GJ,68993
HP,1011
HR,25862
JH,13680
JK,4690
KA,95846
KL,39617
LA,40
LD,1
MH,136063
ML,41
MN,341
MP,36818
MZ,36
NL,3
OR,28446
PB,14057
PY,1481
RJ,78221
TN,66995
TR,4177
UK,15561
UP,162868
WB,11156
Total,1024993
