State,Total Consolidated
AN,20
AP,1180
AR,1
AS,7398
BR,8465
CG,1903
CH,213
DD,19
DL,20902
GA,25
GJ,500
HP,62
HR,4626
JH,1957
JK,90
KA,2259
KL,288
MH,4632
ML,2
MN,39
MP,2743
OR,1358
PB,364
PY,87
RJ,4676
TN,1338
TR,32
UK,5067
UP,53199
WB,6728
Total,130173
