State,Total Consolidated
AN,8441
AP,762657
AR,12461
AS,216210
BR,504682
CG,364224
CH,52068
DD,15299
DL,484542
GA,75681
GJ,1431639
HP,90305
HR,626629
JH,302507
JK,102481
KA,1373993
KL,976200
LA,2246
LD,1110
MH,2044973
ML,26194
MN,28856
MP,909386
MZ,15643
NL,24749
OR,431274
PB,837505
PY,65881
RJ,1100656
SK,9697
TN,1890230
TR,29884
UK,186572
UP,1910655
WB,627007
Total,17542537
