State,Total Consolidated
AN,9979
AP,1144793
AR,23191
AS,427626
BR,913311
CG,556447
CH,48466
DD,19193
DL,707547
GA,86800
GJ,1722622
HP,138723
HR,754168
JH,584946
JK,164981
KA,1602786
KL,1018354
LA,2837
LD,1119
MH,2558732
ML,28848
MN,27906
MP,1294350
MZ,20083
NL,29077
OR,769372
PB,840876
PY,68484
RJ,1391776
SK,5394
TN,1910974
TR,46191
UK,264952
UP,3080898
WB,1037163
Total,23302965
