State,Total Consolidated
AN,8463
AP,913738
AR,36744
AS,629669
BR,1395065
CG,714085
CH,46398
DD,24255
DL,711264
GA,84308
GJ,1898987
HP,147725
HR,996474
JH,579180
JK,179397
KA,1888269
KL,779196
LA,5439
LD,372
MH,2887858
ML,42360
MN,28030
MP,1667810
MZ,30022
NL,27770
OR,811022
PB,705490
PY,65578
RJ,1653200
SK,11685
TN,1953453
TR,63651
UK,281767
UP,3758113
WB,1184917
Total,26211754
