State,Total Consolidated
AN,7172
AP,721945
AR,10840
AS,209870
BR,381148
CG,332714
CH,50572
DD,14389
DL,480781
GA,75025
GJ,1400530
HP,88542
HR,629140
JH,277245
JK,95283
KA,1278803
KL,781836
LA,1683
LD,1071
MH,1961079
ML,23745
MN,23263
MP,880452
MZ,14400
NL,22864
OR,418846
PB,574060
PY,82767
RJ,962544
SK,6172
TN,1728652
TR,28311
UK,173013
UP,1720751
WB,599068
Total,16058576
