State,Total Consolidated
AN,8454
AP,879720
AR,15059
AS,261022
BR,674775
CG,490947
CH,47268
DD,15647
DL,525582
GA,75246
GJ,1504738
HP,106815
HR,656586
JH,349352
JK,109414
KA,1549205
KL,902902
LA,2357
LD,959
MH,2258081
ML,21909
MN,29632
MP,1048456
MZ,14507
NL,20348
OR,533795
PB,813429
PY,53681
RJ,1323772
SK,4828
TN,1649191
TR,30694
UK,200125
UP,2364093
WB,743877
Total,19286466
