State,Total Consolidated
AN,10141
AP,1245102
AR,23159
AS,518751
BR,1285979
CG,576964
CH,47408
DD,20802
DL,721496
GA,81203
GJ,1825095
HP,144778
HR,860403
JH,635293
JK,183911
KA,1698570
KL,1052156
LA,3363
LD,1218
MH,2710417
ML,33363
MN,33263
MP,1456305
MZ,23840
NL,33124
OR,859396
PB,841658
PY,65508
RJ,1477531
SK,7160
TN,2116079
TR,60632
UK,282748
UP,3354521
WB,1128771
Total,25420108
