State,Total Consolidated
AN,2342
AP,232534
AR,10050
AS,180976
BR,351702
CG,208943
CH,13248
DD,7410
DL,215234
GA,24495
GJ,493369
HP,41471
HR,285349
JH,163677
JK,46972
KA,525701
KL,227892
LA,651
LD,293
MH,876662
ML,11831
MN,8296
MP,455152
MZ,8410
NL,8161
OR,247102
PB,205654
PY,21485
RJ,397020
SK,2907
TN,599518
TR,16557
UK,69924
UP,1076554
WB,317905
Total,7355447
