State,Total Consolidated
AN,8463
AP,857293
AR,13848
AS,293956
BR,732097
CG,463564
CH,46754
DD,15566
DL,623900
GA,74083
GJ,1492664
HP,112535
HR,684339
JH,403490
JK,118086
KA,1563735
KL,894124
LA,2052
LD,1033
MH,2275190
ML,20670
MN,28385
MP,982785
MZ,13445
NL,22974
OR,591470
PB,816249
PY,54755
RJ,1311577
SK,5591
TN,1626113
TR,35429
UK,217306
UP,2436132
WB,822604
Total,19662257
