State,Total Consolidated
AN,9484
AP,1043293
AR,18135
AS,329997
BR,870620
CG,467901
CH,47445
DD,18237
DL,681707
GA,78520
GJ,1595893
HP,123652
HR,690868
JH,447470
JK,113994
KA,1663785
KL,946258
LA,2282
LD,846
MH,2420195
ML,23560
MN,29411
MP,1093730
MZ,14798
NL,26166
OR,647743
PB,775204
PY,66244
RJ,1317611
SK,5429
TN,1903740
TR,39792
UK,223661
UP,2636230
WB,950144
Total,21324045
