State,Total Consolidated
AN,7059
AP,852965
AR,26721
AS,516652
BR,1129644
CG,501220
CH,50899
DD,18938
DL,608336
GA,70799
GJ,1568471
HP,118973
HR,740822
JH,491316
JK,162810
KA,1532190
KL,784055
LA,6014
LD,415
MH,2374413
ML,35658
MN,55170
MP,1366148
MZ,27064
NL,25710
OR,633759
PB,555797
PY,50357
RJ,1287122
SK,10572
TN,1700726
TR,52646
UK,231037
UP,3013726
WB,972475
Total,21580679
