State,Total Consolidated
AN,5735
AP,951774
AR,23491
AS,457668
BR,1009965
CG,455865
CH,38634
DD,16531
DL,458827
GA,50956
GJ,1256226
HP,114728
HR,632316
JH,470619
JK,157158
KA,1178651
KL,765887
LA,3728
LD,820
MH,1923269
ML,25841
MN,35881
MP,1150383
MZ,25215
NL,21880
OR,536826
PB,517469
PY,45136
RJ,1062976
SK,10006
TN,1515040
TR,46292
UK,196030
UP,2796198
WB,955456
Total,18913477
