State,Total Consolidated
AN,6503
AP,503981
AR,9424
AS,92677
BR,103370
CG,187306
CH,35878
DD,10264
DL,374533
GA,38262
GJ,536408
HP,68663
HR,411264
JH,201508
JK,62490
KA,851961
KL,500486
LA,1408
LD,958
MH,1094395
ML,18019
MN,18093
MP,646015
MZ,10617
NL,13901
OR,299395
PB,390311
PY,62486
RJ,410523
SK,2712
TN,1121725
TR,17666
UK,115724
UP,1255684
WB,378535
Total,9853145
