State,Total Consolidated
AN,6224
AP,987883
AR,20941
AS,407082
BR,1036877
CG,481833
CH,30687
DD,13165
DL,423368
GA,42437
GJ,1124083
HP,133627
HR,607017
JH,483086
JK,184295
KA,1205789
KL,641127
LA,2418
LD,730
MH,1775068
ML,23450
MN,15965
MP,1261945
MZ,23396
NL,16251
OR,601284
PB,514854
PY,42172
RJ,1107629
SK,7218
TN,1492671
TR,51040
UK,185313
UP,2626140
WB,1055869
Total,18632934
