State,Total Consolidated
AN,7517
AP,635716
AR,10037
AS,161928
BR,237608
CG,314126
CH,53825
DD,12626
DL,450296
GA,54216
GJ,971747
HP,88414
HR,552332
JH,256009
JK,74102
KA,1106966
KL,637365
LA,1501
LD,834
MH,1601586
ML,21956
MN,20500
MP,770145
MZ,12764
NL,20770
OR,391691
PB,487439
PY,69884
RJ,776856
SK,5528
TN,1482447
TR,26387
UK,152073
UP,1548447
WB,555264
Total,13570902
