State,Total Consolidated
AN,8108
AP,702497
AR,14303
AS,236810
BR,604281
CG,453738
CH,45910
DD,15677
DL,486691
GA,69699
GJ,1340061
HP,97564
HR,640572
JH,324878
JK,110857
KA,1388531
KL,941144
LA,1851
LD,887
MH,2029793
ML,25257
MN,29147
MP,995290
MZ,16158
NL,23030
OR,474624
PB,770122
PY,53050
RJ,1212101
SK,5484
TN,1676825
TR,29558
UK,181840
UP,2063364
WB,691890
Total,17761592
