State,Total Consolidated
AN,9138
AP,1147673
AR,34981
AS,516908
BR,1266653
CG,668447
CH,46126
DD,18253
DL,638998
GA,74236
GJ,1627265
HP,138542
HR,853041
JH,559070
JK,144524
KA,1578997
KL,915012
LA,2043
LD,1054
MH,2307772
ML,33342
MN,37329
MP,1533243
MZ,30927
NL,28964
OR,825938
PB,759710
PY,58309
RJ,1478778
SK,10360
TN,1970231
TR,56254
UK,245876
UP,3362766
WB,1176609
Total,24157369
