State,Total Consolidated
AN,8069
AP,895337
AR,30879
AS,653450
BR,1288309
CG,564645
CH,53222
DD,22408
DL,657972
GA,81302
GJ,1821062
HP,127568
HR,836278
JH,544874
JK,171601
KA,1746772
KL,759215
LA,5153
LD,412
MH,2563787
ML,40314
MN,26591
MP,1498255
MZ,28729
NL,27147
OR,739980
PB,640829
PY,55365
RJ,1524161
SK,11010
TN,1826035
TR,56649
UK,256959
UP,3444704
WB,1002303
Total,24011346
