Vehicle Category Group,AHMEDABAD,AHMEDABAD EAST,ALAPPUZHA RTO,ALATHUR SRTO,ALIPORE RTO,ALUVA SRTO,AMBASAMUTHIRAM UO,AMBATTUR RTO,AMRAWATI,AMRELI,ANAND,ANGAMALI SRTO,ANGUL RTO,ARAKKONAM UO,ARANI RTO,ARANTHANGI UO,ARIYALUR RTO,ARTO OFFICE RAMPUR,ATHANI ARTO,ATTINGAL RTO,ATTUR RTO,AURAIYA,AVINASHI UO,Agra RTO,Ahmedabad (Rural) Bawla ARTO,Amalapuram RTA,Ambikapur RTO,Anakapalli RTA,Anantapur RTA,BADWANI DTO,BAGALKOT RTO,BAILHONGAL RTO,BALAGHAT DTO,BALASORE RTO,BANASKANTHA,BANDARTO,BANGAON ARTO,BANTWALA ARTO,BARAMATI,BARARA,BARASAT RTO,BARDOLI,BARGARH RTO,BARRACKPORE ARTO,BASKA,BEED,BEGUSARAI,BEHALA ARTO,BELLARY RTO,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BHADRAK RTO,BHALKI ARTO,BHANDARA,BHARUCH,BHAVANI UO,BHAVNAGAR,BHIND DTO,BHIWANI,BHOPAL RTO,BHUBANESWAR RTO,BIDAR RTO,BIJAPUR RTO,BIKANER RTO,BOKARO,BOLANGIR RTO,BOTAD,Bahraich,Ballia,Balrampur,Bhimavaram RTA,Bijnor,Bilaspur RTO,CHALAKKUDY SRTO,CHAMARAJANAGAR RTO,CHANDAPURA BENGALURU RTO,CHANDIGARH UT (RLA AND STA),CHANDIKHOLE RTO,CHANGANACHERRY SRTO,CHENGALPATTU RTO,CHENGANNUR SRTO,CHENNAI (CENTRAL RTO,CHENNAI (EAST RTO,CHENNAI (NORTH RTO,CHENNAI (NORTH-EAST RTO,CHENNAI (SOUTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHENNAI (WEST RTO,CHERTHALA SRTO,CHEYYAR UO,CHHATRAPATI SAMBHAJINAGAR,CHHINDWARA ARTO,CHICKABALLAPUR RTO,CHIDAMBARAM RTO,CHIKAMANGLUR RTO,CHIKKODI RTO,CHINTAMANI ARTO,CHITRADURGA RTO,CHITTORGARH RTO,COIMBATORE (CENTRAL RTO,COIMBATORE (NORTH RTO,COIMBATORE (SOUTH RTO,COIMBATORE (WEST RTO,CUDDALORE RTO,CUTTACK RTO,Chandauli,Chittoor RTA,Cuddapah RTA,DABWALI,DAMAN,DAMOH DTO,DAVANAGERE RTO,DEHRADUN RTO,DEVANAHALLI ARTO,DEWAS DTO,DHAR ARTO,DHARAPURAM RTO,DHARASHIV,DHARMAPURI RTO,DHARWAD EAST RTO,DHARWAD WEST RTO,DHENKANAL RTO,DHULE,DIBRUGARH,DINDIGUL RTO,DUDU DTO,DUNGARPUR DTO,DURG RTO,DURGAPORE ARTO,DWARKA,DY RTO RATNAGIRI,EAST SINGHBHUM (JAMSHEDPUR),ELECTRONIC CITY RTO,ERNAKULAM RTO,ERODE RTO,Etawah,FARIDABAD,FATEHABAD,FEROZABAD,GADAG RTO,GAJAPATI RTO,GANDHINAGAR,GANJAM RTO,GOKAK ARTO,GONDHIA,GOPICHETTIPALAYAM RTO,GUDIYATHAM UO,GUMLA,GUNA DTO,GURUVAYUR SRTO,GWALIOR RTO,Gajuwaka RTA,Gorakhpur RTO,Gudiwada RTA,Guntur RTA,HALDWANI RTO,HARDA DTO,HARDOI,HARIDWAR ARTO,HARUR UO,HASSAN RTO,HAVERI RTO,HISAR,HONNAVAR ARTO,HOSANGABAD DTO,HOSPET RTO,HOSUR RTO,HUNSUR ARTO,Hindupur RTA,I P ESTATE,ICHALKARANJI,INDORE RTO,IRINJALAKUDA SRTO,ITANAGAR CAPITAL REGION,JABALPUR RTO,JAGATPURA JAIPUR ARTO,JAGATSINGHPUR RTO,JAIPUR (FIRST RTO,JALANA,JAMKHANDI ARTO,JAMNAGAR,JANAKPURI,JHAJHAR,JHALAWAR DTO,JNANABHARATHI RTO,JODHPUR RTO,JUNAGADH,K G F ARTO,KACHCHH,KAITHAL,KALABURAGI RTO,KALLAKURICHI RTO,KALPENI,KALYAN,KAMRUP,KANCHEEPURAM RTO,KANGEYAM UO,KANHANGAD SRTO,KANNUR RTO,KANPUR NAGAR,KARAIKAL,KARAIKUDI UO,KARUNAGAPPALLY SRTO,KARUR RTO,KARWAR RTO,KASBA ARTO,KATNI ARTO,KAVARATTI,KAYAMKULAM SRTO,KAZHAKUTTOM SRTO,KEONJHAR RTO,KHANDWA ARTO,KHEDA,KHORDHA ARTO,KISHANGANJ,KODUNGALLUR SRTO,KODUVALLY SRTO,KOILANDY SRTO,KOLAR RTO,KOLHAPUR,KOLLAM RTO,KOPPAL RTO,KORAPUT RTO,KOTA RTO,KOTDWAR ARTO,KOTHAMANGALAM SRTO,KOTTARAKKARA SRTO,KOTTAYAM RTO,KOVILPATTI RTO,KOZHIKODE RTO,KRISHNAGIRI RTO,KRISHNARAJAPURAM RTO,KULITHALI UO,KUMBAKONAM RTO,KUNDRATHUR RTO,Kanpur Dehat,Korba DTO,Kovvuru UO,Kurnool RTA,LAKHIMPUR,LAKHIMPUR KHERI,LALKUDI UO,LONI ROAD,MADHUGIRI TUMAKURU ARTO,MADIKERI RTO,MADURAI (CENTRAL RTO,MADURAI (NORTH RTO,MADURAI (SOUTH RTO,MAHANAGAR ARTO LUCKNOW (UP321),MALAPPURAM RTO,MALL ROAD,MALLAPPALLY SRTO,MANAPARAI UO,MANDSAUR ARTO,MANDYA RTO,MANGALORE RTO,MANNARGHAT SRTO,MANNARGUDI UO,MAPUSA RTO,MARGAO RTO,MARTHANDAM RTO,MATTANCHERRY SRTO,MAVELIKKARA SRTO,MAYILADUTHURAI RTO,MAYUR VIHAR,MAYURBHANJ RTO,MEENAMBAKKAM RTO,MEERUT RTO,MEHSANA,METTUPALAYAM RTO,METTUR RTO,MINICOY,MODASA,MORADABAD,MORENA DTO,MUMBAI (CENTRAL),MUMBAI (EAST),MUMBAI (WEST),MUVATTUPUZHA RTO,MUZAFFARPUR,MYSURU EAST RTO,MYSURU WEST RTO,Maharajganj,Mainpuri,NAGAMANGALA RTO,NAGAPATTINAM RTO,NAGERCOIL RTO,NAGPUR (EAST),NAGPUR (U),NAMAKKAL (NORTH RTO,NAMAKKAL (SOUTH RTO,NANDED,NARSINGHPUR DTO,NASHIK,NAVSARI,NAWARANGPUR RTO,NEDUMANGADU SRTO,NEEMUCH DTO,NEYVELI UO,NILAMBUR SRTO,NORTH PARUR SRTO,NUAPADA RTO,Nandigama RTA,Nandyal RTA,Narasaraopet RTA,Nellore RTA,Noida,Nuzvid UO,OMALURE UO,OOTY RTO,OTTAPPALAM SRTO,Orai,PALAI SRTO,PALAKKAD RTO,PALANI RTO,PANAJI RTO,PANCHMAHAL,PANRUTI UO,PANVEL,PARAMAKUDI UO,PARAMATHI VELLURE UO,PARASSALA SRTO,PASCHIM BURDWAN RTO,PATHANAMTHITTA RTO,PATNA,PATTAMBI SRTO,PATTUKOTTAI UNIT OFFICE,PEN (RAIGAD),PERAMBALUR RTO,PERINTHALMANNA SRTO,PERUMBAVUR SRTO,PERUNDURAI RTO,POLLACHI RTO,PONNANI SRTO,POONAMALLEE RTO,PRATAPGARH DTO,PUDUCHERRY,PUDUKOTTAI RTO,PUNALUR SRTO,PUNE,PVD KOLKATA,Prakasam RTA,Prayagraj RTO,Punganur UO,QUEPEM RTO,R.T.O.BORIVALI,RAICHUR RTO,RAISEN DTO,RAJAPALAYAM UO,RAJKOT,RAJOURI GARDEN,RAJSAMAND DTO,RAMANATHAPURAM RTO,RANIBENNUR ARTO,RANIPET RTO,RASIPURAM UO,RATLAM DTO,REASI ARTO,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,RISHIKESH ARTO,ROHINI,ROURKELA RTO,RTA Eluru,RTA FARIDABAD,RTA KARNAL,RTA Kakinada,RTA MACHILIPATNAM,RTO AMRITSAR,RTO BARNALA,RTO BATHINDA,RTO CHENNAI (NORTH WEST),RTO FARIDKOT,RTO FEROZPUR,RTO GURDASPUR,RTO HOSHIARPUR,RTO JALANDHAR,RTO LATUR,RTO MUKTSAR SAHIB,RTO PATIALA,RTO PIMPRI CHINCHWAD,RTO SAHIBZADA AJIT SINGH NAGAR,RTO SANGRUR,RTO SATARA,RTO SOLAPUR,Raigarh DTO,Raipur RTO,Rajahmundry RTA,Rajnandgaon ARTO,Ravulapalem UO,SABARKANTHA,SAGAR ARTO,SAGAR RTO,SAHARANPUR RTO,SAHJAHANPUR,SALEM (EAST RTO,SALEM (WEST RTO,SAMBALPUR RTO,SANGLI,SANKAGIRI RTO,SANKARANKOVIL RTO,SARAI KALE KHAN,SATHYAMANGALAM UO,SATNA ARTO,SDM GURUGRAM,SEHORE DTO,SEONI ARTO,SHIMOGA RTO,SHOLINGANALLUR RTO,SILVASSA,SINDHUDURG(KUDAL),SIRKALI UO,SIRSI RTO,SIVAGANGAI RTO,SIVAKASI RTO,SONBHADRA,SOUTH DELHI,SRI GANGANAGAR DTO,SRIPERUMBUDUR RTO,SRIRANGAM RTO,SRIVILLIPUTHUR RTO,SUNDERGARH RTO,SURAJMAL VIHAR,SURAT,TAMBARAM RTO,TAMLUK RTO,TARIKERE CHIKKAMAGALURU ARTO,TENKASI RTO,THALASSERY SRTO,THANE,THANESAR,THANJAVUR RTO,THENI RTO,THIRUCHENDUR RTO,THIRUMANGALAM UO,THIRUR SRTO,THIRURANGADI SRTO,THIRUTHURAIPOONDI UO,THIRUTTANI UO,THIRUVALLA SRTO,THOOTHUKUDI RTO,THRISSUR RTO,THURAIYUR UO,TINDIVANAM RTO,TIPTUR ARTO,TIRUCHENGODE RTO,TIRUCHI RTO,TIRUNELVELI RTO,TIRUPPUR (NORTH RTO,TIRUPPUR (SOUTH RTO,TIRUVALLUR RTO,TIRUVANNAMALAI RTO,TIRUVARUR RTO,TIRUVERANBUR UO,TRANSPORT NAGAR RTO LUCKNOW (UP32),TRIPUNITHURA SRTO,TRIVANDRUM RTO,TUMKUR RTO,Tadipatri UO,Tirupati RTA,UDAIPUR RTO,UDGIR,UDHAMPUR ARTO,UDUMALPET RTO,UDUPI RTO,UJJAIN RTO,ULUNDURPET RTO,UTHAMAPALAYAM UO,UZHAVOOR SRTO,Unnao,VADAKARA RTO,VADIPATTI UO,VADODARA,VAIKOM SRTO,VAISHALI,VALLIYUR UO,VANIYAMBADI RTO,VARANASI RTO,VARKALA SRTO,VASANT VIHAR,VASHI (NEW MUMBAI),VEDACHANDUR UO,VELLORE RTO,VIDISHA DTO,VILUPPURAM RTO,VIRUDHACHALAM UO,VIRUDHUNAGAR RTO,Vijayawada RTA,Vishakapatnam RTA,Vizianagaram RTA,WADAKKANCHERRY SRTO,WARDHA,WAYANAD RTO,WAZIRPUR,YADGIRI RTO,YALAHANKA RTO,YAWATMAL,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Four Wheeler,30,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,28,15,31,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,5,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,4,0,1,2,0,0,1,0,0,4,2,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,9,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,339
Goods Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Three Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
