Vehicle Category Group,ADOOR SRTO,AGAR MALWA RTO,AHMEDABAD,AHMEDABAD EAST,AJMER RTO,AKBARPUR(AMBEDKAR NAGAR),AKLUJ,ALIGARH RTO,ALIPORE RTO,ALUVA SRTO,ALWAR RTO,AMBALA CITY,AMBATTUR RTO,AMBEJOGAI,AMRAWATI,AMRELI,ANAND,ANGAMALI SRTO,ARAMBAG ARTO,ARARIA,ARIYALUR RTO,ARTO OFFICE RAMPUR,ASHOKNAGAR DTO,AURAIYA,AVINASHI UO,AYODHYA RTO,Agra RTO,Ahmedabad (Rural) Bawla ARTO,Ambikapur RTO,Amethi ARTO,Azamgarh RTO,BADWANI DTO,BAGALKOT RTO,BAHADURGARH,BALAGHAT DTO,BALLABGARH,BALOTRA DTO,BANASKANTHA,BANDARTO,BANGAON ARTO,BANKURA RTO,BARAMATI,BARAN DTO,BARASAT RTO,BAREILLY,BARGARH RTO,BARMER DTO,BARPETA,BARRACKPORE ARTO,BARUIPUR ARTO,BASAVAKALYAN ARTO,BASKA,BASTI RTO,BAWAL,BEED,BEGUSARAI,BEHALA ARTO,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BETTIAH,BHABHUA,BHAGALPUR,BHANDARA,BHARATPUR RTO,BHARUCH,BHAVNAGAR,BHILWARA DTO,BHIND DTO,BHIWANI,BHIWARI DTO,BHOJPUR,BHOPAL RTO,BHUBANESWAR RTO,BHUBANESWAR-II RTO,BICHOLIM RTO,BIJAPUR RTO,BIKANER RTO,BIRBHUM RTO,BISHNUPUR,BISHNUPUR ARTO,BOLANGIR RTO,BOLPUR ARTO,BONGAIGAON,BULDHANA,BURARI TAXI UNIT,BURHANPUR DTO,Badaun,Baghpat,Bahraich,Ballia,Balod DTO,Baloda Bazar DTO,Balrampur,Barabanki ARTO,Bemetara DTO,Bhadohi(SANT RAVIDAS NAGAR),Bijnor,Bilaspur RTO,Bulandshahar,CACHAR,CANACONA RTO,CHALAKKUDY SRTO,CHANCHOL ARTO,CHANDAPURA BENGALURU RTO,CHANDIGARH UT (RLA AND STA),CHAPARA,CHARKHI DADRI,CHATTARPUR ARTO,CHENGALPATTU RTO,CHENNAI (CENTRAL RTO,CHENNAI (NORTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHENNAI (WEST RTO,CHERTHALA SRTO,CHEYYAR UO,CHHATRAPATI SAMBHAJINAGAR,CHHINDWARA ARTO,CHICKABALLAPUR RTO,CHIKAMANGLUR RTO,CHIKKODI RTO,CHIRANG,CHITRADURGA RTO,CHITTORGARH RTO,CHURU DTO,COIMBATORE (CENTRAL RTO,COIMBATORE (SOUTH RTO,COIMBATORE (WEST RTO,CUTTACK RTO,Chandauli,Chitrakoot,DABWALI,DAMOH DTO,DARBHANGA,DARRANG,DATIA DTO,DAUSA RTO,DAVANAGERE RTO,DEHRADUN RTO,DEOGHAR,DEORIA,DEVANAHALLI ARTO,DEWAS DTO,DHANBAD,DHAR ARTO,DHARASHIV,DHARMAPURI RTO,DHARWAD EAST RTO,DHARWAD WEST RTO,DHEMAJI,DHENKANAL RTO,DHOLPUR DTO,DHUBRI,DHULE,DIAMOND HARBOUR ARTO,DIBRUGARH,DUDU DTO,DUNGARPUR DTO,DURG RTO,DWARKA,DY REGIONAL TRANSPORT OFFICE HINGOLI,DY RTO RATNAGIRI,Dantewada DTO,Dhamtari DTO,EAST SINGHBHUM (JAMSHEDPUR),ELECTRONIC CITY RTO,ERNAKULAM RTO,Etah,Etawah,FARIDABAD,FATEHABAD,FATHEHPUR,FEROZABAD,Farrukhabad,GANDHINAGAR,GAYA,GHAZIABAD,GIRIDIH,GOALPARA,GODDA,GOHANA,GOLAGHAT,GONDA,GONDHIA,GOPALGANJ,GUNA DTO,GURUGRAM SOUTH,GWALIOR RTO,Ghazipur,Gorakhpur RTO,HAILAKANDI,HALDWANI RTO,HAMIRPUR(UP),HANUMANGARH DTO,HARDA DTO,HARDOI,HARIDWAR ARTO,HARUR UO,HASSAN RTO,HATHIN,HATHRAS,HAVERI RTO,HAZARIBAG,HODEL,HOOGHLY RTO,HOSANGABAD DTO,HOSPET RTO,HOSUR RTO,Hapur,I P ESTATE,IMPHAL EAST,INDORE RTO,JABALPUR RTO,JAGATPURA JAIPUR ARTO,JAIPUR (FIRST RTO,JAIPUR (SECOND RTO,JAJPUR RTO,JALORE DTO,JAMKHANDI ARTO,JAMNAGAR,JANAKPURI,JAUNPUR,JHABUA DTO,JHALAWAR DTO,JHUNJHUNU DTO,JIND,JNANABHARATHI RTO,JODHPUR RTO,JPNAGAR,JUNAGADH,Janjgir Champa DTO,JhansiRTO,K G F ARTO,KACHCHH,KACHCHH EAST,KAITHAL,KALABURAGI RTO,KALAHANDI RTO,KALYAN,KALYANI ARTO,KAMRUP,KAMRUP(RURAL),KANCHEEPURAM RTO,KANINA,KANNUR RTO,KANPUR NAGAR,KARIMGANJ,KARNAL,KAROLI DTO,KASBA ARTO,KASHIPUR ARTO,KATNI ARTO,KAZHAKUTTOM SRTO,KEKRI DTO,KEONJHAR RTO,KHAGARIA,KHAMBHALIYA,KHANDWA ARTO,KHARGONE ARTO,KHEDA,KHORDHA ARTO,KHUNTI,KISHANGANJ,KISHANGARH DTO,KODUNGALLUR SRTO,KODUVALLY SRTO,KOKRAJHAR,KOLAR RTO,KOLHAPUR,KOLLAM RTO,KONDOTTY SRTO,KORAPUT RTO,KOSLI,KOTA RTO,KOTDWAR ARTO,KOTPUTALI DTO,KOVILPATTI RTO,KOZHIKODE RTO,KRISHNAGIRI RTO,KRISHNARAJAPURAM RTO,KUMBAKONAM RTO,KUPWARA ARTO,Kannauj,Korba DTO,LAKHIMPUR,LAKHIMPUR KHERI,LONI ROAD,Lalitpur,MADHUBANI,MADIKERI RTO,MADURAI (CENTRAL RTO,MADURAI (NORTH RTO,MAHENDERGARH,MALAPPURAM RTO,MALDA RTO,MALEGAON,MALL ROAD,MANANTHAVADY SRTO,MANDSAUR ARTO,MANDYA RTO,MANGALORE RTO,MAPUSA RTO,MARGAO RTO,MATHURA,MATTANCHERRY SRTO,MAYUR VIHAR,MEENAMBAKKAM RTO,MEERUT RTO,MEHSANA,MIRZAPUR RTO,MODASA,MORADABAD,MORENA DTO,MORIGAON,MOTIHARI,MUMBAI (CENTRAL),MUMBAI (EAST),MUMBAI (WEST),MURSHIDABAD RTO,MUVATTUPUZHA RTO,MUZAFFARPUR,MYSURU EAST RTO,MYSURU WEST RTO,Maharajganj,Mahasamund DTO,Mahoba,Mainpuri,Mau,Mungeli DTO,MuzaffarNagar,NAGAMANGALA RTO,NAGAON,NAGAUR DTO,NAGPUR (EAST),NAGPUR (RURAL),NAGPUR (U),NALANDA,NALBARI,NANDED,NARNAUL,NARSINGHPUR DTO,NARWANA,NASHIK,NAWADA,NAWARANGPUR RTO,NELAMANGALA RTO,NILAMBUR SRTO,NUH,Noida,OULGARET,Orai,PADRAUNA(KUSHI NAGAR),PALAI SRTO,PALAKKAD RTO,PALI RTO,PANCHMAHAL,PANVEL,PARASSALA SRTO,PATAUDI,PATNA,PATTUKOTTAI UNIT OFFICE,PAYYANNUR SRTO,PEHOWA,PEN (RAIGAD),PERINTHALMANNA SRTO,PERNEM RTO,POLLACHI RTO,PONDA RTO,POONAMALLEE RTO,PRATAPGARH,PUDUCHERRY,PUNALUR SRTO,PUNE,PURBA BURDWAN RTO,PURI RTO,PURNEA,PVD KOLKATA,Pilibhit,Prayagraj RTO,QUEPEM RTO,R.T.O.BORIVALI,RAJAPALAYAM UO,RAJGARH DTO,RAJKOT,RAJOURI GARDEN,RAJPUR ROAD/VIU BURARI,RAJSAMAND DTO,RAMANAGAR RTO,RAMANATTUKARA (FEROKE SRTO,RAMNAGAR ARTO,RAMPURHAT ARTO,RANCHI,RANIBENNUR ARTO,RATLAM DTO,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,REWARI,RISHIKESH ARTO,RLA KELANG,RLA ROHRU,RLA SHIMLA(RURAL),ROHINI,ROHTAK,ROORKEE ARTO,ROURKELA RTO,RTA AMBALA,RTA BHIWANI,RTA FARIDABAD,RTA GURGAON,RTA HISAR,RTA JHAJJAR AT BAHADURGARH,RTA KAITHAL,RTA KARNAL,RTA KURUKSHETRA,RTA MOHINDERGARH,RTA NUH,RTA PALWAL,RTA PANCHKULA,RTA PANIPAT,RTA REWARI,RTA ROHTAK,RTA SIRSA,RTA SONEPAT,RTA YNR,RTO AHEMEDNAGAR,RTO AKOLA,RTO AMRITSAR,RTO BARNALA,RTO CHANDRAPUR,RTO CHENNAI (NORTH WEST),RTO FEROZPUR,RTO GURDASPUR,RTO HAMIRPUR,RTO HOSHIARPUR,RTO JALANDHAR,RTO JALGAON,RTO LATUR,RTO MANDI,RTO MOGA,RTO NAHAN,RTO PATHANKOT,RTO PATIALA,RTO PIMPRI CHINCHWAD,RTO RAMPUR,RTO SAHIBZADA AJIT SINGH NAGAR,RTO SANGRUR,RTO SATARA,RTO SHIMLA,RTO SOLAPUR,Raibareilly,Raigarh DTO,Raipur RTO,Rajnandgaon ARTO,SAFIDON,SAGAR RTO,SAHAPURA (JAIPUR DTO,SAHARANPUR RTO,SAHARSA,SAHEBGANJ,SAHJAHANPUR,SALTLAKE ARTO,SAMASTIPUR,SANGLI,SARAI KALE KHAN,SARAIKELA-KHARSAWAN,SATNA ARTO,SAWAI MADHOPUR DTO,SDM BADLI,SDM BARWALA,SDM BILASPUR,SDM GURUGRAM,SDM ZIRA,SEHORE DTO,SEONI ARTO,SHAHDOL RTO,SHAJAPUR DTO,SHAMLI ARTO,SHEIKHPURA,SHEOPUR DTO,SHIMOGA RTO,SHIVPURI DTO,SHOLINGANALLUR RTO,SIDHI DTO,SIKAR RTO,SILVASSA,SINDHUDURG(KUDAL),SIROHI DTO,SIRSA,SIVASAGAR,SIWAN,SONEPAT,SONITPUR,SOUTH DELHI,SRI GANGANAGAR DTO,SRIRAMPUR,SRIRAMPUR ARTO,SUJANGARH DTO,SULTHANBATHERY SRTO,SURAJMAL VIHAR,SURAT,Sambhal ARTO,Sant Kabir Nagar,Shravasti,Sitapur,Sultanpur,Surajpur DTO,TAMLUK RTO,TANAKPUR ARTO,TARIKERE CHIKKAMAGALURU ARTO,THALASSERY SRTO,THALIPARAMBA SRTO,THANE,THANESAR,THANJAVUR RTO,THENI RTO,THIRUR SRTO,THIRURANGADI SRTO,THRISSUR RTO,TIKAMGARH DTO,TINDIVANAM RTO,TINSUKIA,TIRUNELVELI RTO,TIRUPPUR (NORTH RTO,TIRUPPUR (SOUTH RTO,TIRUVANNAMALAI RTO,TIRUVARUR RTO,TIRUVERANBUR UO,TONK DTO,TRANSPORT NAGAR RTO LUCKNOW (UP32),TRIVANDRUM RTO,TUMKUR RTO,UDAIPUR RTO,UDALGURI,UDHAM SINGH NAGAR ARTO,UDUMALPET RTO,UDUPI RTO,UJJAIN RTO,UMARIA DTO,USILAMPATTI UO,Unnao,VADAKARA RTO,VADODARA,VAISHALI,VALLIYUR UO,VALSAD,VANDIPERIYAR SRTO,VANIYAMBADI RTO,VARANASI RTO,VASAI,VASANT VIHAR,VASCO RTO,VASHI (NEW MUMBAI),VELLORE RTO,VIKAS NAGAR ARTO,VILLIANUR,VIRUDHACHALAM UO,WARDHA,WASHIM,WAZIRPUR,WEST SINGHBHUM (CHAIBASA),WEST TRIPURA JTC,YADGIRI RTO,YALAHANKA RTO,YAWATMAL,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
Four Wheeler,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,157,39,135,18,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,13,0,0,0,2,6,2,2,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,41,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,1,0,0,0,2,0,3,0,0,0,0,127,0,0,0,0,1,0,0,0,3,0,1,40,1,0,0,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,72,0,0,0,0,0,0,4,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,4,1,0,1,1,59,0,0,0,12,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,2,0,1,0,1,0,1,17,1,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,12,2,2,0,1,0,0,0,0,1,0,1,0,1,15,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,4,2,0,0,0,1,0,0,0,24,0,2,0,7,0,1112
Goods Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,5,298,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,537
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Special Category Vehicles,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
