Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,3,1,8,24,0,0,1,9935,9,296,2,5166,1,8,22,32,1,0,1776,1,1,108,0,89,2,33,0,127,0,12,1303,4,3356,23,22344
DIESEL,894,130461,2816,39983,134941,60476,14901,3487,36571,6417,218131,22231,156340,62067,26590,228561,191108,769,132,299560,7765,4725,197099,2554,13081,67321,191692,6195,239549,2225,208294,2629,29396,298915,96438,3004314
DIESEL/HYBRID,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,5,2,0,0,21,0,0,1,0,0,0,1,0,7,0,1,0,0,0,0,44
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7
ELECTRIC BOV,0,19,0,3,14,78,1,0,115,19,108,2,6,16,4,548,63,0,5,571,3,0,51,0,3,102,178,25,171,0,364,1,25,202,32,2729
ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LPG ONLY,0,5,0,3,80,1,5,0,1,0,1,0,1,2,0,83,12,0,0,93,0,0,7,0,0,8,42,0,35,0,311,0,3,28,2238,2959
NOT APPLICABLE,0,11611,1815,476,4114,8391,1,27,18,155,8141,6,9042,135,1,17610,32,0,0,5589,48,57,6283,6,7,8652,1616,9,139,5,1814,14,1339,308,1098,88559
PETROL,7211,556846,9667,196267,464710,384606,30904,11923,393503,63003,1055104,75260,452924,262621,81233,1116686,748689,1079,750,1658993,17423,24343,785435,13585,9846,397978,575775,46771,957967,3243,1454847,25145,150295,1729372,587833,14351837
PETROL/CNG,0,1078,3,30,345,3,75,236,46498,80,57376,55,15970,35,19,549,448,1,0,57717,7,18,3271,13,4,296,373,6,1891,4,122,466,186,22903,656,210734
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/HYBRID,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
PETROL/LPG,3,2473,0,38,43,182,23,3,46,16,875,8,1107,1,3000,24451,753,1,0,5350,3,3,3033,0,0,265,411,44,12210,7,11059,0,592,8264,3572,77836
SOLAR,0,1,0,0,9,0,0,0,0,0,29,0,14,0,0,14,3,0,0,106,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,196
Total,8108,702497,14303,236810,604281,453738,45910,15677,486688,69699,1340061,97564,640572,324878,110857,1388531,941144,1851,887,2029780,25250,29147,995290,16158,23030,474624,770122,53050,1212101,5484,1676825,29558,181840,2063364,691890,17761569
