Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,52,1,2,13,0,2,1,9663,30,423,0,5384,1,1,13,44,0,0,2370,0,0,847,0,66,2,66,0,175,1,14,1940,6,5611,40,26768
DIESEL,769,140322,3371,39062,119283,55991,10828,3308,41437,4687,222378,21154,145769,56389,22716,231995,127495,718,88,279703,4019,3833,142854,1717,12839,71275,165010,5275,225328,2119,169927,2527,28278,278114,84366,2724944
DIESEL/HYBRID,0,5,2,0,1,5,1,0,246,0,12,3,2,1,1,24,12,0,0,27,1,0,3,0,0,0,33,3,43,2,4,0,9,13,53,506
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
ELECTRIC BOV,0,9,0,23,69,86,2,2,3564,4,78,4,55,194,4,686,26,0,4,999,0,0,85,0,1,47,18,11,674,1,83,0,15,1015,30,7789
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LPG ONLY,0,13,0,4,0,2,616,0,0,0,4,0,4,2,0,174,18,0,0,54,0,0,18,0,0,25,18,0,7,1,225,0,3,95,2049,3332
NOT APPLICABLE,0,18014,1464,406,7246,8226,0,8,4,380,14718,15,10397,1722,2,13075,31,0,0,17299,42,26,3450,3,4,9752,536,8,375,4,937,1324,152,1178,780,111578
PETROL,7694,695192,9009,254343,605276,399180,34918,11979,509294,68908,1176369,91302,504088,344910,94524,1295893,765517,1332,940,1904153,16590,24505,828905,11709,10060,509892,649963,49449,1069132,3455,1446983,28990,188069,2112072,729722,16454317
PETROL/CNG,0,3027,1,25,195,3,106,268,59606,71,78116,53,17941,270,18,686,707,1,0,64630,5,16,3497,16,2,214,419,1,3454,6,151,647,326,27848,341,262667
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7
PETROL/HYBRID,0,0,0,1,0,0,1,0,70,0,1,1,3,0,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,94
PETROL/LPG,0,659,0,90,6,71,280,0,16,3,559,3,687,1,820,21093,273,1,0,5864,0,4,3125,0,2,263,185,8,12387,2,7788,0,447,10184,5214,70035
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SOLAR,0,0,0,0,8,0,0,0,0,0,6,0,9,0,0,94,0,0,0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,198
Total,8463,857293,13848,293956,732097,463564,46754,15566,623900,74083,1492664,112535,684339,403490,118086,1563735,894124,2052,1033,2275190,20657,28385,982785,13445,22974,591470,816249,54755,1311577,5591,1626112,35429,217306,2436132,822604,19662243
