Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,22,2,1,7,1,0,2,20007,2,795,0,4132,4,0,18,28,0,0,1420,0,0,442,0,23,0,46,0,58,0,9,776,4,4339,102,32240
DIESEL,612,139082,2027,34882,76863,42796,12931,3105,36935,11343,189410,18770,138255,49449,19940,199990,178631,694,141,282090,6763,4277,135639,2122,14576,67995,140961,7683,177949,2277,222945,2923,27379,246774,84968,2583177
DIESEL/HYBRID,0,0,0,5,4,0,0,0,0,0,2,0,1,0,0,1,2,0,0,19,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,40
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11
ELECTRIC BOV,0,81,0,2,156,270,0,7,741,29,502,2,14,7,10,1028,126,0,16,999,0,5,312,0,0,102,545,40,342,2,703,0,29,625,269,6964
ETHANOL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LPG ONLY,0,13,0,3,43,4,188,0,2,0,15,1,118,1,0,462,46,0,0,35,0,1,16,0,0,3,216,0,24,0,309,0,0,25,5449,6974
NOT APPLICABLE,0,16489,195,486,3096,5815,4,22,14,236,7880,6,9659,193,1,20111,90,0,0,9905,60,44,5354,7,6,8775,1935,28,111,7,3020,11,302,456,1858,96176
PETROL,6556,560189,8614,174422,300714,283104,37226,10848,380287,63210,1092666,69606,455808,227554,70790,1031869,599205,989,913,1620321,16909,18879,725084,12264,8249,341409,428159,74847,766109,3879,1486097,24412,143685,1430448,501982,12977303
PETROL/CNG,0,1921,0,34,200,8,129,392,42623,45,105874,139,18972,33,348,754,465,0,1,35483,5,55,4714,5,8,67,1391,15,1639,5,132,189,184,23471,174,239475
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
PETROL/LPG,4,4145,2,35,61,716,94,13,171,160,3335,18,2167,3,4194,24550,3235,0,0,10603,2,2,8888,1,2,495,801,154,16307,2,15434,0,1430,14611,4265,115900
SOLAR,0,3,0,0,4,0,0,0,0,0,50,0,14,0,0,17,5,0,0,181,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,279
Total,7172,721945,10840,209870,381148,332714,50572,14389,480780,75025,1400530,88542,629140,277245,95283,1278803,781836,1683,1071,1961060,23739,23263,880452,14400,22864,418846,574060,82767,962544,6172,1728652,28311,173013,1720751,599068,16058550
