Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,2628,5,253,7277,95,57,45,8070,72,25481,38,10577,1578,12,13209,3099,0,0,26184,0,0,4631,0,41,725,1109,27,5866,0,9718,1184,727,16799,959,140466
DIESEL,187,28769,2793,9561,24415,28521,1811,2058,3665,1626,63740,6346,45982,14404,8247,57754,17709,320,13,109333,1684,512,69157,896,4328,25411,31937,1158,74561,611,48311,1186,6919,98732,21722,814379
DIESEL/HYBRID,0,42,1,8,3,61,41,63,13,14,241,24,61,15,8,186,74,0,0,443,0,1,64,0,0,35,41,18,39,0,132,0,6,55,62,1751
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ELECTRIC BOV,13,3780,8,13874,19664,3817,727,31,16070,842,3749,300,4450,4156,2100,16021,7520,0,3,13614,95,158,8897,185,1,3949,4305,296,9265,0,13829,2544,2356,66479,8842,231940
ETHANOL,0,2,0,3,51,8,0,0,13,2,8,3,5,8,0,60,27,0,0,93,0,0,18,17,0,14,1,2,2,0,92,0,6,14,66,515
FUEL CELL HYDROGEN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LNG,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,76,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,108
LPG ONLY,0,1,0,0,965,9,0,0,0,0,0,0,0,402,0,1248,8,0,1,2289,0,0,25,0,0,0,0,1,757,0,540,0,2,232,3270,9750
NOT APPLICABLE,0,2148,37,161,1720,3563,0,15,5,2,700,0,79,154,0,3819,3,0,0,5081,0,0,213,0,0,810,1,0,680,0,0,0,38,14,29,19272
PETROL,1933,173754,6070,142110,271653,155684,8321,4330,144349,16027,328396,31707,176630,130978,33025,349988,151309,284,257,553101,8001,7210,316668,6370,3335,186783,149080,16485,261064,2075,421636,9502,53129,780362,244200,5145806
PETROL/CNG,1,2075,3,72,5669,170,225,456,14738,357,41072,159,29078,1674,11,11046,2499,0,0,61026,3,0,18380,0,0,1846,3569,189,16047,1,9238,871,1655,45181,2481,269792
PETROL/ETHANOL,129,6871,720,9038,8837,3622,375,97,6355,2673,10054,1115,4914,4959,1324,23176,16906,7,15,28733,1713,159,7537,788,169,9816,2176,1739,4755,174,56183,782,1535,15953,24211,257610
PETROL/HYBRID,61,1754,361,1843,1652,4038,575,171,5164,811,4037,1295,5391,1984,1326,6589,5739,38,1,6415,272,210,3713,65,262,2422,3643,432,3303,36,6657,75,1362,6909,2361,80967
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,36,0,0,211,0,0,0,0,0,364,0,0,0,0,52,209,882
PLUG IN HYBRID EV,0,2,0,0,0,0,2,0,1,0,2,3,3,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,35
PURE EV,12,10166,14,3943,9632,8866,606,60,14332,1905,13639,306,5474,3202,829,39488,20907,0,3,65645,37,33,24898,81,5,14874,8538,998,19479,3,31025,408,1987,40946,9014,351355
STRONG HYBRID EV,6,542,38,110,164,488,508,84,2459,164,2223,175,2695,163,90,3113,2091,1,0,4582,26,13,740,8,20,417,1254,140,837,7,2153,5,202,4818,479,30815
Total,2342,232534,10050,180976,351702,208943,13248,7410,215234,24495,493369,41471,285349,163677,46972,525701,227892,651,293,876662,11831,8296,455152,8410,8161,247102,205654,21485,397020,2907,599518,16557,69924,1076554,317905,7355447
