Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,16,4,0,25,1,27,0,12855,0,545,3,3650,1,0,23,29,0,0,1272,0,0,1394,0,33,0,609,0,253,0,29,438,3,5060,22,26292
DIESEL,1065,153038,6112,51098,125723,62325,10459,4093,36038,5665,241361,20566,132454,66742,22799,221253,121387,910,62,305794,5078,4071,170907,2656,18491,80168,137362,6435,208150,1743,194278,3295,27794,327497,91230,2868099
DIESEL/HYBRID,0,46,23,686,382,16,32,0,6581,123,7218,285,2230,1943,705,97,2652,5,0,12590,96,49,2281,12,0,116,732,39,2650,62,127,34,1097,3094,2516,48519
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
ELECTRIC BOV,0,0,0,3831,3594,945,23,1,17850,38,173,15,2487,1352,1,708,79,0,0,940,0,5,1409,0,0,212,137,9,3945,0,109,2,4223,40648,4452,87188
ETHANOL,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,14,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,22
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LPG ONLY,0,13,0,0,387,2,54,0,0,1,2,0,1,0,0,52,23,0,1,27,0,0,160,0,0,17,17,1,12,0,161,0,0,29,2853,3813
NOT APPLICABLE,8,25202,2683,820,11400,6401,0,6,0,218,5927,56,5822,4228,1,10611,16,0,0,4359,48,50,3172,5,3,12297,1587,6,6607,0,1151,275,2383,2631,555,108528
PETROL,8906,965038,14363,371171,771354,486704,37392,14740,579743,80639,1366855,117741,575009,510511,141407,1346452,892313,1921,1055,2119162,23625,23724,1105182,17408,10550,676096,698701,61981,1151594,3588,1699486,39325,228726,2654934,927474,19724870
PETROL/CNG,0,1272,4,15,412,7,379,350,54067,113,100244,54,31843,94,11,1051,1198,1,0,103146,0,6,4992,1,0,225,1310,3,5187,0,381,2822,329,36877,109,346503
PETROL/ETHANOL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
PETROL/HYBRID,0,0,0,1,0,0,14,0,410,0,17,2,30,3,0,4,4,0,0,141,1,0,0,0,0,1,2,2,13,1,14,0,3,10,33,706
PETROL/LPG,0,168,1,2,7,46,86,3,3,3,273,1,631,70,56,22468,649,0,0,11258,0,1,4851,1,0,240,418,8,13363,0,15236,0,394,10117,7919,88273
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOLAR,0,0,0,1,27,0,0,0,0,0,3,0,10,0,1,53,4,0,0,37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,138
Total,9979,1144793,23191,427625,913311,556447,48466,19193,707547,86800,1722622,138723,754168,584946,164981,1602786,1018354,2837,1119,2558732,28848,27906,1294350,20083,29077,769372,840876,68484,1391776,5394,1910974,46191,264952,3080898,1037163,23302964
