Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,1710,5,3,7248,1,177,237,25397,159,31608,77,17339,1738,0,3488,2801,0,0,31544,0,0,898,0,12,240,3321,12,4575,0,1449,2136,1086,28842,230,166333
DIESEL,452,104567,4926,35370,85341,52917,7254,3472,12025,2979,159888,14831,104375,37515,22135,139268,53248,1024,33,243528,4035,3073,152682,3172,9531,56677,77287,2196,166201,1896,124235,2358,16965,248862,60126,2014444
DIESEL/HYBRID,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,9,0,0,0,1,0,1,1,0,0,0,7,0,1,0,8,0,1,3,0,36
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,15
ELECTRIC BOV,92,9678,2,15632,23084,4216,731,29,25806,1095,9762,327,8658,3740,1147,33298,8732,6,4,29916,5,114,10442,1,2,5626,4648,405,23460,0,30033,2432,5322,66684,6408,331537
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
LPG ONLY,0,1,0,0,62,28,0,0,0,0,0,0,0,3,0,4231,153,0,0,995,0,0,20,0,0,0,0,14,902,0,1690,0,34,2130,3151,13414
METHANOL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NOT APPLICABLE,0,20648,31,887,8668,6300,0,15,0,1,5179,0,81,535,0,16758,1,0,0,16529,12,0,2376,0,11,3310,1,0,559,0,2,0,162,246,192,82504
PETROL,5177,813033,18423,403507,879413,388506,28899,11975,361942,45635,990925,98829,460849,422658,133350,959289,688353,2673,781,1507966,21665,32496,965148,22004,12224,466218,424065,41902,848918,8091,1337746,36870,169463,2392020,877823,15878836
PETROL/CNG,0,2066,3,11,3275,3,766,593,27335,212,49367,110,36162,1389,1,5632,3289,0,2,73277,0,1,11024,0,1,717,5725,20,10030,0,1829,2379,1996,42390,644,280249
PETROL/ETHANOL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/HYBRID,14,11,100,2258,2845,3860,807,210,6322,875,9492,552,4580,3039,525,13589,9059,25,0,18163,124,196,4569,38,99,4026,2410,582,4157,19,14663,117,990,12336,4975,125627
PETROL/LPG,0,59,0,0,27,34,0,0,0,0,0,0,265,2,0,3088,251,0,0,1350,0,0,3223,0,0,12,1,5,4171,0,3385,0,11,2684,1907,20475
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,5735,951774,23491,457668,1009965,455865,38634,16531,458827,50956,1256226,114728,632316,470619,157158,1178651,765887,3728,820,1923269,25841,35881,1150383,25215,21880,536826,517469,45136,1062976,10006,1515040,46292,196030,2796198,955456,18913477
