Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,13,6,2,35,2,2,1,14761,1,466,1,4621,2,1,24,38,0,0,1678,0,0,421,0,42,1,71,0,91,2,17,1210,3,3038,77,26627
DIESEL,817,144068,2586,40113,111170,52972,19378,3896,42731,9546,229754,21453,157007,57475,24987,237537,229162,1025,182,337219,8114,5259,168593,2071,15260,64936,206468,7263,228059,4095,259660,3329,32925,298219,93478,3120807
DIESEL/HYBRID,0,0,0,1,0,4,0,0,0,0,5,0,1,0,1,1,2,0,0,18,0,1,0,0,0,0,4,0,2,1,1,0,0,2,0,44
DUAL DIESEL/CNG,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ELECTRIC BOV,0,19,1,4,20,184,2,1,369,31,434,3,21,15,5,1104,104,0,9,511,1,0,161,2,0,121,617,47,352,3,674,0,48,393,243,5499
ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LPG ONLY,1,5,0,0,89,2,36,0,0,0,20,1,4,1,1,114,42,0,0,36,0,0,6,0,0,1,85,1,16,0,393,0,1,47,709,1611
NOT APPLICABLE,1,14696,148,541,3428,6269,7,23,14,193,9367,7,9362,261,5,19391,66,0,0,6557,59,71,5880,8,4,7639,2091,8,168,5,2837,11,606,329,1447,91499
PETROL,7621,597433,9716,175494,389560,304197,32491,11061,377376,65779,1105837,68740,436449,244719,72561,1085908,744886,1216,919,1651116,17993,23460,722178,13559,9436,358051,626288,58374,856084,5586,1612784,25037,151065,1567306,526644,13956924
PETROL/CNG,0,1446,2,24,338,10,90,312,49166,46,83721,89,17132,31,115,614,363,1,0,38833,8,61,4569,3,6,76,775,11,2030,4,106,297,185,26296,418,227178
PETROL/ETHANOL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/HYBRID,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,11
PETROL/LPG,1,4974,1,30,37,584,62,5,122,85,1995,11,2021,2,4805,29282,1533,4,0,8908,1,4,7574,0,1,449,1105,177,13851,1,13756,0,1739,15008,3991,112119
SOLAR,0,3,0,0,4,0,0,0,0,0,40,0,11,0,0,15,1,0,0,79,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,172
Total,8441,762657,12461,216210,504682,364224,52068,15299,484541,75681,1431639,90305,626629,302507,102481,1373993,976200,2246,1110,2044959,26176,28856,909386,15643,24749,431274,837505,65881,1100656,9697,1890230,29884,186572,1910655,627007,17542504
