Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,9703,82,1077,28182,41,110,231,24738,221,88895,70,31894,5618,2,55943,13817,0,0,80398,0,0,14817,4,26,2625,4109,60,19272,0,35876,4220,1354,57285,1664,482334
DIESEL,686,103975,8385,40041,81511,88475,5304,7223,12291,5330,250913,21159,142944,48152,25977,193911,56545,2062,14,313557,5868,1209,207713,2816,14590,87031,100476,3884,250755,2257,155084,3063,23103,303979,68865,2639148
DIESEL/HYBRID,0,111,3,30,6,107,109,122,54,51,847,83,219,33,12,545,283,0,0,1173,6,0,132,0,3,75,257,71,169,0,329,0,41,261,127,5259
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ELECTRIC BOV,46,41885,39,62328,97525,33161,5234,264,67881,9026,50009,1358,31294,20919,11639,128344,60352,18,5,155110,780,406,63689,512,9,46825,32217,3192,73846,7,97259,9249,15372,302702,34920,1457422
ETHANOL,0,0,0,3,11,8,0,0,7,1,6,0,3,9,0,10,9,0,0,52,0,0,1,7,0,2,0,0,4,0,32,1,0,6,12,184
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
LNG,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,190,0,0,0,0,0,0,0,0,105,0,31,0,0,0,0,349
LPG ONLY,0,5,0,0,4847,122,0,0,0,0,0,0,0,1488,0,5205,19,0,0,6967,0,0,119,0,0,0,0,4,3482,0,2460,0,5,1634,6280,32637
NOT APPLICABLE,0,10341,157,635,5139,9495,0,44,0,2,3274,1,249,397,0,13010,0,0,0,13697,1,0,355,0,18,2083,3,0,3846,0,6,0,130,108,116,63107
PETROL,7160,692823,23676,475858,1118457,550151,30311,14114,513589,52955,1305040,116762,662687,475408,132846,1328387,543222,2946,353,1965694,28574,25345,1285907,22762,11536,614498,527640,50722,1204482,8783,1417494,40648,224103,2851000,965175,19291108
PETROL/CNG,0,6068,12,95,11199,91,564,1297,45631,1181,131030,423,83080,3057,3,32742,6220,0,0,167803,2,1,34497,0,2,3961,10649,561,38018,0,24298,2983,4068,115672,5553,730761
PETROL/ETHANOL,275,25408,3134,35177,26273,6098,460,229,11449,9622,22487,2561,6913,12326,2670,48521,48650,4,0,59082,6316,323,10859,3662,624,25588,1881,4282,9042,473,159280,2878,4079,25666,80716,657008
PETROL/HYBRID,260,7808,1196,8331,6296,10015,2469,503,18209,3190,16124,4560,20519,6412,4521,24526,23533,407,0,28064,761,707,10848,197,926,9186,13324,1254,10467,155,23055,234,4661,23749,8691,295158
PETROL/LPG,0,7,0,0,0,6,0,0,0,0,1,0,154,0,0,12,0,0,0,275,0,0,1124,0,0,0,0,0,2331,0,16,0,0,350,1153,5429
PLUG IN HYBRID EV,0,1,0,0,0,0,0,0,1,0,2,1,4,0,0,0,1,0,0,12,0,0,0,0,0,0,0,3,0,0,3,0,0,13,1,42
PURE EV,18,14606,10,5801,15334,15699,963,75,12430,2463,25750,398,11693,5061,1572,50805,22920,0,0,86848,18,16,36817,48,4,18487,12252,1321,35533,0,34210,366,4460,66592,10705,493275
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
STRONG HYBRID EV,18,997,50,293,285,616,874,153,4984,266,4583,349,4810,299,155,6287,3625,2,0,8936,34,23,932,14,32,661,2682,224,1848,10,4020,9,391,9096,938,58496
Total,8463,913738,36744,629669,1395065,714085,46398,24255,711264,84308,1898987,147725,996474,579180,179397,1888269,779196,5439,372,2887858,42360,28030,1667810,30022,27770,811022,705490,65578,1653200,11685,1953453,63651,281767,3758113,1184917,26211754
