Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,11710,3,501,27821,1,121,168,26849,155,76379,58,28376,5212,0,41002,17174,0,0,62986,0,0,10417,4,16,1890,4419,37,14051,0,28045,2989,2608,57718,606,421316
DIESEL,851,123420,7589,44179,84137,74515,7626,7397,12588,4821,243496,18210,137006,44289,23479,194527,56265,2213,12,299138,5974,2085,200583,2951,13171,79249,89451,3187,245691,1912,160834,2687,22084,289818,63985,2569420
DIESEL/HYBRID,0,34,2,21,6,45,78,34,41,16,443,45,80,17,3,262,131,0,0,551,1,1,45,0,2,42,78,29,77,1,205,0,12,100,62,2464
ELECTRIC BOV,26,32877,21,60788,88213,38248,6415,161,73695,9482,88613,1132,30496,21125,9747,152667,75809,28,6,194342,115,399,67988,167,6,44543,25746,2638,93766,0,90304,6311,16795,278305,21430,1532404
LNG,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,244
LPG ONLY,0,0,0,0,2596,162,0,0,0,0,0,0,0,203,0,5234,17,0,0,6116,0,0,149,0,0,0,0,18,3088,0,2673,0,56,3065,3435,26812
NOT APPLICABLE,0,11152,91,807,6258,5893,0,69,0,2,4024,1,458,522,0,14308,2,1,0,13018,1,0,290,0,5,2387,2,0,6618,0,5,0,124,169,151,66358
PETROL,6843,684693,20699,515092,1051880,434291,34480,12893,474871,56375,1263242,102594,551862,459287,133638,1253058,555972,2641,394,1788094,28876,23523,1178958,23018,12472,584361,498597,45636,1117655,8667,1412236,40418,205857,2686941,860671,18130785
PETROL/CNG,0,4979,12,69,5942,8,550,1019,39544,984,108367,218,61991,1522,5,21555,4272,0,0,129825,2,0,20541,0,0,2708,7946,283,22711,0,13766,2919,3131,85309,4216,544394
PETROL/ETHANOL,178,15675,1433,24025,15623,3071,202,119,6336,6665,14355,1403,2842,6753,1667,31691,28840,1,0,32614,4546,73,6090,2365,442,15815,924,2363,5215,277,93134,1162,1939,13539,38489,379866
PETROL/HYBRID,171,10789,1029,7968,5798,8403,3750,548,24048,2802,22114,3907,22953,5944,3062,32120,20724,269,0,36633,799,510,11846,224,1033,8985,13666,1174,13227,153,24254,163,4353,29319,8476,331214
PETROL/LPG,0,8,0,0,35,8,0,0,0,0,0,0,205,0,0,348,8,0,0,316,0,0,1348,0,0,0,0,0,2062,0,517,0,0,421,782,6058
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,8069,895337,30879,653450,1288309,564645,53222,22408,657972,81302,1821062,127568,836278,544874,171601,1746772,759215,5153,412,2563787,40314,26591,1498255,28729,27147,739980,640829,55365,1524161,11010,1826035,56649,256959,3444704,1002303,24011346
