Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,28,2,4,61,0,1,0,10826,11,623,0,4728,1,1,13,42,0,0,3053,0,0,797,0,76,0,43,1,96,0,24,1486,2,8354,1,30274
DIESEL,829,163135,4751,40996,128488,54151,9979,3930,25856,5528,239323,19281,120088,58369,16563,247692,122079,788,77,302025,4723,3593,147942,2046,15800,74444,130693,5709,206213,1957,198400,3298,26281,278502,89172,2752701
DIESEL/HYBRID,1,26,2,9,9,22,20,1,4967,1,45,21,45,6,46,159,2751,0,0,396,14,1,58,0,0,2,600,35,678,2,27,1,380,639,398,11362
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DUAL DIESEL/CNG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,1,0,3,0,0,0,0,1,0,14
ELECTRIC BOV,1,20,1,19,1100,192,1,2,21680,33,141,4,1375,705,0,587,20,0,5,928,1,2,847,2,0,25,37,7,3999,0,81,0,1158,15314,1530,49817
ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
LPG ONLY,0,2,0,9,402,0,1136,0,1,0,1,0,3,0,0,120,27,0,0,72,0,0,61,0,0,21,25,0,9,0,195,0,0,55,1827,3966
NOT APPLICABLE,6,25556,2109,410,9840,6767,1,2,83,351,14484,8,10086,2173,0,13344,24,0,0,19450,15,34,3263,5,8,10768,1420,10,3811,3,2785,1572,83,1138,797,130406
PETROL,8646,852330,11263,288024,730129,406697,35439,13977,546906,72493,1253743,104250,515302,385734,97233,1376957,819861,1493,762,2000125,18806,25768,933276,12745,10275,562035,640615,60472,1084678,3458,1688696,32642,194911,2285104,849442,17924287
PETROL/CNG,0,1765,5,69,581,7,178,325,70898,102,87154,85,38424,482,17,1033,1078,1,2,86716,0,11,4415,0,0,246,1147,6,4541,6,303,792,342,36199,813,337743
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/HYBRID,0,0,0,0,0,0,7,0,488,0,0,1,7,0,0,4,4,0,0,9,0,0,0,0,0,0,0,2,0,0,1,0,2,3,3,531
PETROL/LPG,1,431,1,457,5,65,683,0,2,1,370,2,793,0,134,23811,364,0,0,7289,1,2,3068,0,1,202,621,2,13578,3,13227,1,502,10918,6161,82696
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
SOLAR,0,0,0,0,5,0,0,0,0,0,8,0,17,0,0,65,6,0,0,126,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,234
Total,9484,1043293,18135,329997,870620,467901,47445,18237,681707,78520,1595893,123652,690868,447470,113994,1663785,946258,2282,846,2420194,23560,29411,1093730,14798,26166,647743,775204,66244,1317611,5429,1903740,39792,223661,2636230,950144,21324044
