Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
BHARAT STAGE III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHARAT STAGE IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BHARAT STAGE IV/VI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHARAT STAGE VI,0,1,0,0,0,0,4,0,2,2,0,0,0,1,0,167,5,0,0,39,0,0,3,0,0,0,0,0,4,4,0,0,0,0,232
Bharat Stage III CEV,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
EURO 6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Not Applicable,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,7
Not Available,26,32875,21,60788,88213,38248,6409,161,73692,9480,88606,1132,30505,21124,9747,152497,75805,28,6,194297,115,399,67985,167,6,44542,25746,2638,93762,90298,6311,16795,278305,21430,1532159
Total,26,32877,21,60788,88213,38248,6415,161,73695,9482,88613,1132,30505,21125,9747,152667,75810,28,6,194342,115,399,67988,167,6,44543,25746,2638,93766,90305,6311,16795,278305,21430,1532415
