Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE VI,6,544,38,110,164,488,510,84,2466,164,2225,178,2698,163,90,3116,2092,1,0,4593,26,13,740,8,20,417,1254,140,837,7,2154,5,202,4826,479,30858
EURO 6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
Not Available,25,13946,22,17817,29296,12683,1333,91,30396,2747,17384,606,9924,7358,2929,55507,28427,0,6,79259,132,191,33795,266,6,18823,12843,1294,28743,3,44854,2952,4343,107425,17856,583282
Total,31,14490,60,17927,29460,13171,1843,175,32862,2911,19613,784,12622,7521,3019,58623,30519,1,6,83852,158,204,34535,274,26,19240,14097,1434,29581,10,47008,2957,4545,112251,18335,614145
